Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type,Yard Waste (Curbside),Yard Waste (Dropoff), # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,Private Hauler regulations that require recycling,Swap-Shop,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,Tip Fee as of 1/1/2013,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Did your municipality host comprehensive household hazardous waste collection events in 2012?,How many events?,Regional,Reciprocal,Comments/Additional Information,
HARDWICK,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvard,Richard Nota,1915,1284,1325,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Neither,Neither,,,,,,,,,,,,Yes,Yes,Yes,1154,No,150,Yes,88.2,,,,318,153,,80,12,,,,,,10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
Harwich,Lincoln Hooper,10202,5439,5439,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Recycling,Recycling,Both,Both,,,,,,,,,,,,,Yes,,4427,No,81,Yes,70,,203,286,111,317,,409,68,,64,,,1919,116,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Yes,6,Yes,No,,
HATFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill,Franco Cordano,26053,22469,22469,Curbside,,,Both,,Yes,,,None,Yes,Yes,4,36,Both,Both,Both,Recycling,,Yes,3,35,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,21143,Yes,,No,58.23,4922,,,,,,35,,,,,,2617,29,0,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,Yes,2,No,No,"Yard Waste - Leaves and Grass clippings for the season totaled 7,568 yards (drop-off and curbside). Calculation - 533lbs per yard  City pays $175-$225 per load for disposal of leaves and grass.  Wood Chips totaled 2,400 yards or 600 tons.  The City does n",
Hawley,Jan Ameen,170,0,0,None,,,None,,,,,None,,,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,0,No,0,No,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,1,Yes,Yes,,
Heath,Jan Ameen,375,255,255,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Neither,Neither,,,,,,,,,,,,,,Yes,199,No,0,No,81,,,,35,31,,19,,,,,,,1,0,0,0,0,0,Year Round,0,0,0,0,Year Round,Year Round,0,0,0,0,0,0,0,Yes,1,Yes,Yes,,
Hingham,Randy Sylvester,7223,7223,7223,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Recycling,Recycling,Neither,,,,,,,,Yes,,Yes,Yes,,Yes,,7127,Yes,,Yes,71,146,,440,773,719,,479,124,,,,,4908,106,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Yes,1,Yes,Yes,,
Hinsdale,Sandy Totter,739,464,464,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Neither,Neither,,,,,,,,,,,,,Yes,Yes,405,No,57,Yes,,,,,56,21,,17,,,,,,,3,0,0,Year Round,Year Round,0,Year Round,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,No,,,,,
HOLBROOK,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLDEN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLAND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLISTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holyoke,Timothy E. Price Sr.,16200,9950,9950,Both,,,Both,Bi-weekly,,Yes,356896,None,Yes,,20,,Recycling,Recycling,Recycling,Recycling,,,,,,,,Yes,,Yes,No,,,,5100,Yes,,No,75.5,,,,1181,527,,114,,495,34,,,1282,21,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Yes,1,No,Yes,,
HOPEDALE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOPKINTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUBBARDSTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson,Sam Wong,7528,1935,1935,Drop-off,,,Drop-off,,,,,None,,Yes,,28,Both,Both,Both,Neither,Yes,,,,,,,,,,,Yes,Yes,,1217,Yes,,Yes,,566,,,,,,,,,,,,859,,1 or 2,Year Round,Year Round,Year Round,0,Year Round,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,Year Round,Year Round,Year Round,No,,,,,
HULL,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntington,eric weiss,810,750,750,Drop-off,,,Drop-off,,,,,None,,,,,Both,Both,Both,Neither,Yes,,,,,,,Yes,,Yes,Yes,,Yes,,418,Yes,,Yes,72,,,,70,56,,30,6,,,,,,4,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Yes,1,Yes,Yes,,
Ipswich,Marlene Faria Connelly,6000,5000,5000,Curbside,,,Curbside,,Yes,,,Curbside,,Yes,,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,Yes,2858,Yes,,No,62,1896,,,,,12,,,,,,5480,,,1 or 2,Year Round,Between 3 & 10,Between 3 & 10,0,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Yes,1,No,No,,
Kingston,Paul Basler,4831,2968,2958,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Neither,Neither,,,,,,,,Yes,,Yes,No,,,Yes,3159,No,255,Yes,35.56,,,189,185,183,,192,24,,12,,,450,49,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Yes,1,Yes,Yes,white good tons are included with ewaste.,
Lakeville,Jeremy Peck,3900,1798,1798,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,Yes,,8824,No,324,Yes,89.33,11,48,121,42,43,24,81,,,0,,,,17,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,"Lakeville pays a $3.00 disposal fee per mattress.  A total (19) mattresses were collected and disposed of last year.
Yard waste and brush is collected.  The brush was recently chipped and is typically chipped every other year.  The wood chips are available for residents with permit stickers at no extra cost",
LANCASTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanesborough,Sandy Totter,1203,0,1203,None,,,Drop-off,,,,,None,,Yes,,0,Recycling,Neither,Neither,Neither,,,,,,,,,,,,Yes,,Yes,0,No,2,Yes,,,,,53,22,,6,,,,,,,3,0,1 or 2,1 or 2,1 or 2,0,0,1 or 2,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,No,,,,Lanesborough has no municipal program for yard waste or Christmas trees.  There was no way to record this so it was recorded as available 0 weeks.,
Lawrence,Moises Brea,18000,17617,17617,Both,Yes,64,Both,,Yes,,,None,Yes,,24,,Both,Both,Neither,Neither,,Yes,1,64,Yes,Yes,No,Yes,,Yes,No,,,,23094,Yes,,Yes,61.13,2266,,277,,,,,,,,,,,,Once a Month,Once a Month,Year Round,Year Round,Once a Month,0,Once a Month,Once a Month,0,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,0,0,0,No,,,,,
Lee,Jamie Cahillane,2192,0,0,None,,,None,,,,,None,,Yes,,52,Neither,Neither,Neither,Neither,,,,,,,,,,,,Yes,,Yes,0,Yes,,No,,,,,,,,,,,,,,,,0,0,1 or 2,1 or 2,Between 3 & 10,0,1 or 2,1 or 2,0,Between 3 & 10,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,0,0,0,0,No,,,,All residents in Lee must use private subscription hauling or private transfer station located in Lenoxdale.,
LEICESTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LENOX,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEOMINSTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leverett,Jan Ameen,710,550,550,Drop-off,,,Drop-off,,,,,None,,,,,Both,Recycling,Neither,Neither,Yes,,,,,,,,,,,,Yes,Yes,168,No,39,Yes,70,,,,96,56,,14,,,,,,,3,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Yes,1,Yes,Yes,,
Lexington,robert beaudoin,11751,10958,11352,Curbside,,,Both,Weekly,,Yes,96,None,Yes,Yes,24,45,Both,Both,Neither,Neither,,Yes,5,32,,Yes,,Yes,Yes,,,,,Yes,8114,Yes,,No,72,,,296,2596,1748,,366,671,3,,,,7904,81,Between 3 & 10,Once a Week,Once a Week,Once a Week,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Yes,8,Yes,No,Planning to implement drop-off program for carpet to start sometime in FY15,
Leyden,Jan Ameen,267,0,0,None,,,None,,,,,None,,,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,0,No,0,No,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,1,Yes,Yes,,
Lincoln,Chris Bibbo,3050,2100,2100,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Recycling,Neither,Neither,,,,,,,,Yes,,Yes,Yes,,Yes,Yes,969,Yes,,No,70,,399,,378,139,,54,,20,,,10,52,50,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,No,,,,,
Littleton,Jim Clyde,3582,1774,1774,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Recycling,Recycling,Neither,Neither,Yes,,,,,,,,,,,Yes,Yes,,1185,Yes,,Yes,88.2,,,,371,192,,73,21,,,,,238,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Year Round,0,Yes,22,Yes,No,,
Longmeadow,Michael Wrabel,5892,5440,5440,Curbside,,,Curbside,,,,,None,Yes,Yes,8,52,Both,Both,Neither,Neither,Yes,,,,,,,Yes,Yes,,,,Yes,Yes,3567,No,287,Yes,80.95,,,,1285,568,,63,1,247,,,,2207,19,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Yes,1,Yes,Yes,The Town of Longmeadow collects mattresses at the Recycling Center/Transfer Station.  The mattresses are de-constructed with the metal and wood being recycled.  The remaining parts of the mattresses are added to the bulk items.,
Lowell,Gunther Wellenstein,38000,25000,25000,Curbside,Yes,68,Both,,,,,None,Yes,Yes,38,4,Both,Both,Neither,Neither,,,,,,,,Yes,,Yes,Yes,,,Yes,28788,No,0,Yes,72,,56,,2373,1754,0,48,107,0,80,0,0,3875,5,1 or 2,1 or 2,Once a Week,Once a Month,Once a Month,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Once a Month,Yes,2,No,No,,
Ludlow,Jim Goodreau,6965,6830,6830,Both,,,Both,,Yes,,,None,,Yes,,34,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,5020,Yes,,Yes,80.95,1625,,,48,9,,49,,,,,,3771,29,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,No,,,,,
LUNENBURG,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynn,Lisa J. Nerich,35915,26606,26606,Curbside,,,Curbside,,Yes,,,None,Yes,Yes,9,41,Both,Both,Both,Neither,,Yes,6,32,Yes,Yes,Yes,,,,,,,,31846,Yes,,No,75,2486,,,,,,,,,,,,1781,35000,0,0,Year Round,0,1 or 2,0,Year Round,1 or 2,1 or 2,1 or 2,Between 3 & 10,1 or 2,Year Round,Year Round,Year Round,0,0,0,0,Yes,1,Yes,No,,
Lynnfield,Marlene Faria Connelly,4210,4210,4210,Curbside,,,Curbside,,,,,None,,Yes,,35,Both,Both,Neither,Neither,,,,,,,,,,,,,,Yes,4567,Yes,,No,68,,,,602,449,,,,,,,,,,1 or 2,0,Once a Month,Once a Month,1 or 2,Year Round,1 or 2,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
Malden,Ron Zanazzo,27000,19000,19000,Curbside,,,Both,,,,,None,Yes,Yes,33,52,Both,Both,Both,Neither,Yes,,,,,,,,,,,,,,10100,Yes,,No,,,,,2032,2252,,50,,,,,,2221,100,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Yes,2,No,No,,
Manchester,William Fitzgerald,2335,2300,2300,Both,,,Both,,Yes,,,None,,Yes,,34,Both,Neither,Both,Neither,Yes,,,,,,,,,,,,,,1404,Yes,,Yes,72,813,,,,,,,,,,,,,,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Yes,1,No,Yes,,
Mansfield,Christina Collins,7575,6589,6589,Curbside,Yes,64,Both,Weekly,Yes,Yes,64,None,,Yes,,52,Both,Both,Neither,Neither,,,,,,,,Yes,,Yes,No,,,Yes,5180,Yes,,Yes,74.81,2229,,,76,114,2,,,810,,,,1250,48,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
Marblehead,Andrew Petty,8000,8000,8000,Both,,,Both,,,,,None,Yes,Yes,7,52,Both,Both,Neither,Neither,,Yes,3,35,Yes,Yes,No,Yes,Yes,Yes,No,,Yes,,5508,Yes,,Yes,87.55,,1115,239,,804,5,101,12,,,,,6175,36,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Yes,2,No,No,,
Marion,Robert C. Zora,2753,2753,2753,Both,,,Both,,Yes,,,None,,Yes,,52,Both,Both,Recycling,Neither,,Yes,5,40,Yes,,Yes,,,,,,Yes,,1590,No,0,No,,238,,,,,,,,,,,,410,,Year Round,0,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,Year Round,0,Year Round,Year Round,Year Round,Yes,1,Yes,Yes,"Hazardous Products Collection sponsored by CMW District.
Scarp Metal/White Goods, C&D Materials, Swap Shop or Book Re-use by CMW District.
#8 (other recycled materials) scrap metal/white goods and e-waste - CMW District.

Medical Waste/Sharps - Board of Health

Recycling Tonnage - cardboard, steel/tin cans, glass, plastic, newspaper - included in single stream.

Bulky waste is accepted at the CMWRRDD Transfer Station.  They would be responsible for tracking the tonnage collected.",
Marlborough,Thomas P. Temple,12000,12000,12000,Curbside,Yes,65,Curbside,Bi-weekly,Yes,Yes,95,None,Yes,Yes,8,52,Both,Both,Neither,Neither,,,,,,,,,,,,,Yes,Yes,8170,No,0,No,112.61,2728,7,200,200,100,,370,15,,,,,7000,39,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,Year Round,Year Round,Yes,2,No,No,Please note the items left blank above depicted under item No. 8 Recycled/Compost Tonage (other recycled materials) are currently being lumped together in 30-yard dumpsters which WeCare Environmental is responsible for the removal and disposal of same.,
Marshfield,Debbie Sullivan,9548,9458,9458,Both,,,Both,,,,,None,Yes,Yes,5,52,Both,Both,Both,Neither,Yes,,,,,,,,,,,Yes,Yes,Yes,6524,Yes,,No,,,,,1872,,,206,26,,,,,173,60,Year Round,Year Round,Year Round,Year Round,Once a Month,0,Year Round,1 or 2,Once a Month,Once a Month,Year Round,1 or 2,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,No,,,,,
Mashpee,Catherine Laurent,6118,4145,6118,Drop-off,,,Drop-off,,Yes,,,None,,Yes,,52,Both,Both,Neither,Neither,,,,,,,,,,,,Yes,,Yes,3540,Yes,,Yes,36.76,674,,167,,,21,203,17,,14,,,950,63,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Yes,4,Yes,Yes,,
MATTAPOISETT,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAYNARD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medfield,Kenneth Feeney,3500,2900,2900,Drop-off,,,Drop-off,,Yes,,,Drop-off,,Yes,,52,Neither,Neither,Neither,Neither,,,,,,,,,,,,,Yes,,2949,Yes,,No,,989,,,,53,,,117,,,,,,31,Year Round,Year Round,Once a Month,Once a Month,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Year Round,Year Round,Yes,1,No,Yes,,
Medford,Mary Menezes,56673,56000,56000,Curbside,Yes,96,Curbside,Bi-weekly,Yes,Yes,96,None,Yes,,16,,Both,Both,Both,Neither,,Yes,2,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,15446,No,8742,No,79,5433,,,,,,281,,,17103,,,1924,748,0,0,Year Round,Year Round,0,Year Round,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,No,,,,"Please note:  question Enforced Trash Limits at the curb.- it does not allow you to enter 0.
Residents have the option to lease additional trash or recycling carts and/or purchase overflow bags.
The cost to lease a trash cart is $150.00 per year - $50.00 ",
Medway,Tom Holder,4067,3934,3934,Both,,,Both,,,,,None,Yes,Yes,1,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,Yes,Yes,Yes,3193,Yes,,No,74.81,,,,664,459,18,450,,88,,,,560,,Once a Week,Year Round,Once a Week,Once a Week,1 or 2,Year Round,0,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,No,"Our number of households does not break out by apartment, it counts 1 condo or 1 multifamily as 1 household.  We do not have information on units for all of our condos and multi's.  Our trash & recycling accounts are mostly single family, some multi families, and if for a complex each condo has its own account.

Also, the public school department has a program whereby they recycle food waste at a local farm.

Bulky Rigid Plastic - We are charged a $124 processing fee each time they collect which ends up costing us money in the end even with the $15/ton credit.

Scrap Metal/White Goods - We are given $210.00 per ton of scrap metal, but we do not make money on white goods.  Our white goods are collecting together with our e-waste so the tonnage shown on this line is a total of all scrap metal, white goods, and e-waste combined.  The cost of our white goods and e-waste is built into our total contract price so we do not have a per ton price.",
Melrose,Jessie Schmitt,8229,7619,7619,Curbside,,,Both,,,,,None,Yes,Yes,20,50,Both,Both,Neither,Neither,,,,,,,,,,,,,,Yes,7776,Yes,,No,66.42,0,,123,1081,609,,,9930,,,,0,,120937,1 or 2,Between 3 & 10,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,Yes,1,No,No,"Melrose does not track tonnage of items such as mattresses, carpet, wood, and metal but those items are collected.",
MENDON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERRIMAC,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methuen,Matt Zettek,18887,15035,16096,Curbside,,,Both,,Yes,,,None,Yes,Yes,28,52,Both,Both,Neither,Neither,,,,,,,,,,,,,,Yes,16719,Yes,,No,72,3504,,,,,,126,,,,,,2934,84,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Once a Month,Year Round,0,Yes,1,Yes,Yes,,
Middleborough,Christopher Peck,7000,6000,6000,Curbside,,,Both,Bi-weekly,,Yes,13,None,,Yes,,52,Both,Recycling,Neither,Neither,,,,,,,,,,,,,,,5558,No,545,Yes,25,362,,,419,115,0,,3575,77,,,,321,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Yes,1,Yes,No,,
Middlefield,eric weiss,213,175,175,Drop-off,,,Drop-off,,,,,None,,,,,Both,Both,Both,Neither,,,,,,,,Yes,,Yes,Yes,,Yes,Yes,139,Yes,,Yes,72,,,,18,16,,11,3,,,,,,0,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Yes,1,Yes,Yes,,
MIDDLETON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milford,Paul A. Mazzuchelli,12000,10500,10500,Both,,,Both,Bi-weekly,,Yes,18,None,,Yes,,52,Both,Both,Neither,Neither,,Yes,4,32,Yes,,Yes,Yes,,Yes,Yes,,Yes,,8300,Yes,,No,74.81,,,,1705,557,,673,12,83,,,,2315,1450,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Between 3 & 10,Year Round,Year Round,Yes,1,No,Yes,,
MILLBURY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millis,James F. McKay,3218,850,850,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Recycling,Recycling,Neither,Neither,Yes,,,,,,,,,,,,,,465,Yes,,Yes,,0,0,0,143,82,0,19,0,0,1,0,0,0,0,0,0,Year Round,Year Round,0,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,No,,,,,
Millville,Sherry Grant,1012,1012,1012,Curbside,,,Curbside,Weekly,Yes,Yes,10,None,,,,,Both,Neither,Neither,Neither,,Yes,2,35,Yes,Yes,Yes,,,,,Yes,,,937,No,0,Yes,74.81,-225,,,,,,,,,,,,,,0,Year Round,Year Round,Year Round,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,No,,,,,
