Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type,Yard Waste (Curbside),Yard Waste (Dropoff), # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Swap-Shop,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Tip Fee as of 1/1/2013,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Did your municipality host comprehensive household hazardous waste collection events in 2012?,How many events?,Regional,Reciprocal,Comments/Additional Information,
Haverhill,Franco Cordano,21043,17874,17874,Curbside,,,Both,,Yes,,,None,,Yes,,35,Both,Both,Both,,Yes,3,35,Yes,Yes,Yes,Yes,Yes,,,21352,Yes,57.43,4486,,,,,,26,,,,,,2472,10,0,Year Round,1 or 2,1 or 2,Once a Month,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,2,No,No,"1.)   ""8. Recycled/Composted Tonnage"" - Single Stream Revenue Breakdown = 60% (mixed paper) @ $22.50 per ton, 40% (Com.) @ $7.50 per ton.  

2.)  ""OTHER RECYCLED MATERIALS"" - Regarding e-waste, the city 's only makes money from TV's and Monitors - a fraction of the total tonnage and pays $450.00 to host the event.

3.)   Yard waste is typically calculated in cubic yards - in CY12 - 8,000 Cubic Yards - costing approx. $16,000 to take in and haul away. - Converted to tons is 2,160 + 312 tons (from annual curbside pickup)  = 2,472 total tons.

4.)   A city-wide curbside pickup for leaves is collected once a year in addition to the 35 week drop off location.  (312 tons collected in one day)

5.)   City collects refuse and recycling for approx. 300 Businesses.",
Hawley,Jan Ameen,0,0,0,None,,,None,,,,,None,,,,,Neither,Neither,Neither,,,,,,,,,,,,0,No,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
Heath,Jan Ameen,350,234,234,Drop-off,,,Drop-off,,,,,None,,,,,Both,Recycling,Neither,,,,,,,,,,,Yes,214,No,82.7,,,,33,29,,20,,,,,,,,Year Round,0,0,0,0,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,No,,,,,
Hingham,Randy Sylvester,7173,7173,7173,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Recycling,,,,,,,Yes,Yes,,Yes,,7055,Yes,70,,,424,811,1107,,279,6,,,,,3689,99,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,Yes,,
Hinsdale,Sandy Totter,739,464,464,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Both,,,,,,,,,,,Yes,461,Yes,,,,,52,20,,9,,,,,,,7,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,No,,
HOLBROOK,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLDEN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLAND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holliston,Paul D. LeBeau,4908,4617,4617,Curbside,,,Both,,,,,None,Yes,Yes,2,51,Both,Both,Both,Yes,,,,,,,,,,Yes,4070,Yes,74.01,,1052,48,,815,,,,,,,,1609,77,1 or 2,Once a Week,Once a Week,Once a Week,0,Year Round,0,1 or 2,1 or 2,1 or 2,Once a Week,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,No,Yes,,
Holyoke,Timothy E. Price Sr.,16200,9950,9950,Both,,,Both,,,,,None,Yes,Yes,40,35,Recycling,Recycling,Recycling,,,,,,,Yes,Yes,,Yes,,7506,Yes,,,,,1205,636,,120,,325,86,,,3305,25,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,Yes,,
HOPEDALE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOPKINTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUBBARDSTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson,sam,7528,2300,2300,Drop-off,,,Drop-off,,,,,None,,Yes,,28,Both,Both,Neither,Yes,,,,,,,,,Yes,,58996,Yes,,566,,,,,,,,,,,,859,,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,Year Round,Yes,1,No,No,,
HULL,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntington,eric weiss,809,809,809,Drop-off,,,Drop-off,,,,,None,,,,,Both,Both,Both,Yes,,,,,,Yes,Yes,,Yes,Yes,408,Yes,68,,,,78,50,,29,3,,,,,,3,0,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,0,0,Yes,1,Yes,Yes,,
Ipswich,Judy Sedgewick,6000,5000,5000,Curbside,,,Curbside,,Yes,,,Curbside,,Yes,,52,Both,Both,Neither,Yes,Yes,1,35,,Yes,,,,Yes,,2976,Yes,62,1926,,,,,,,,,,,,,,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,1 or 2,Year Round,Year Round,1 or 2,1 or 2,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,0,Yes,1,No,No,,
Kingston,JEFF BOND,4816,2971,2971,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Neither,,,,,,,Yes,Yes,,,Yes,3134,No,,0,0,172,183,171,0,390,10,0,0,0,0,700,20,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,No,,
Lakeville,Christopher Peck,4069,1912,1912,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Neither,Neither,Neither,Yes,,,,,,,,,Yes,Yes,867,No,104.52,10,43,154,20,41,41,78,,,1,,,,5,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,"The Town pays a $3.00 disposal fee per mattress.  We collected and disposed of a total of 29 mattresses this year.
We collect yard waste and brush.  The brush is chipped on site every other year.  The wood chips are available to residents with valid stickers at no cost.",
LANCASTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanesborough,Sandy Totter,1203,0,1203,None,,,Drop-off,,,,,None,,Yes,,0,Recycling,Neither,Recycling,,,,,,,,,,,Yes,0,No,,,,,56,22,,3,,,,,,,3,0,1 or 2,1 or 2,1 or 2,0,0,1 or 2,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,No,Lanesborough has no municipal MSW collection.  All residents privately subscribe with area companies.,
Lawrence,Andrys Castillo,18000,17614,17614,Curbside,Yes,64,Curbside,,Yes,,,None,Yes,Yes,18,19,Both,Both,Neither,,Yes,1,64,Yes,Yes,,,,,,23990,No,60.12,474,,,755,450,,,,,,,,540,,Year Round,Year Round,Year Round,0,Once a Week,Once a Week,Once a Week,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,No,,,,"From May-Oct 2012 the DPW Yard Drop-off center was open to residents twice a month. Residents had the option to drop-off the following hazardous waste materials: used engine oil, propane tanks, etc.",
Lee,Jamie Cahillane,2442,0,0,None,,,None,,,,,None,,Yes,,50,Neither,Neither,Neither,,,,,,,,,,,Yes,0,No,,0,0,0,136,78,,,,,,,,,,1 or 2,0,1 or 2,1 or 2,Between 3 & 10,Year Round,1 or 2,1 or 2,0,Between 3 & 10,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,0,0,Yes,1,Yes,No,,
LEICESTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LENOX,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEOMINSTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leverett,Jan Ameen,800,635,635,Drop-off,,,Drop-off,,,,,None,,,,,Both,Recycling,Neither,Yes,,,,,,,,,Yes,Yes,209,Yes,69,,,,95,50,,9,,,,,,,1,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,0,0,No,,,,,
Lexington,robert beaudoin,11491,11067,11491,Curbside,,,Both,,,,,None,Yes,Yes,24,35,Both,Both,Neither,,Yes,6,32,,Yes,Yes,Yes,,,Yes,8135,Yes,70,,,278,2765,1630,,407,765,10,,,,7652,85,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Between 3 & 10,Yes,8,Yes,No,,
Leyden,Jan Ameen,0,0,0,None,,,None,,,,,None,,,,,Neither,Neither,Neither,,,,,,,,,,,,0,No,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
Lincoln,Chris Bibbo,3050,2100,2100,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Recycling,Neither,,,,,,,Yes,Yes,,Yes,Yes,1009,Yes,70,,,,378,168,,47,,20,,,,10,52,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,No,,,,,
Littleton,James Clyde,3064,1763,1763,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Recycling,Recycling,Recycling,Yes,,,,,,,,,Yes,,1214,Yes,86.79,0,0,0,332,204,0,90,21,0,0,0,0,216,10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,No,,,,,
Longmeadow,Michael Wrabel,6000,5500,5500,Curbside,,,Curbside,,,,,None,,Yes,,52,Both,Both,Neither,Yes,,,,,,,,,Yes,Yes,3524,No,79.55,,,,1377,629,,111,1,242,,,,3075,23,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,Yes,283 tons of bulky waste was collected.,
Lowell,Gunther Wellenstein,38000,24500,24500,Curbside,Yes,64,Curbside,,,,,None,Yes,,38,,Both,Both,Neither,,,,,,,Yes,Yes,,,Yes,28681,No,70,8,,,2436,1720,,,,,,,,4210,,1 or 2,1 or 2,Once a Month,Once a Month,Once a Month,Once a Month,1 or 2,0,0,1 or 2,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,1 or 2,Once a Month,Yes,2,No,No,,
Ludlow,Jim Goodreau,6947,6810,6810,Both,,,Both,,,,,None,,Yes,,34,Both,Neither,Neither,Yes,,,,,,,,,,,5460,Yes,79.55,1523,,,,,,69,,,,,,2810,17,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,No,,,,"The Town of Ludlow started a PAYT program July 1, 2012.  These numbers are half a year with a PAYT program with the first 35 gallons free and single stream recycling.  The first half of the year there was no limit on trash and dual stream recycling",
LUNENBURG,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynn,Lisa J. Nerich,90000,80000,80000,Curbside,,,Curbside,,Yes,,,None,Yes,Yes,8,41,Both,Both,Both,,Yes,6,32,Yes,Yes,,,,,,32280,Yes,75,2493,,,,,,,,,,,,2091,94240,0,0,Year Round,0,1 or 2,0,Year Round,1 or 2,1 or 2,1 or 2,Between 3 & 10,1 or 2,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,No,,
Lynnfield,Marlene Faria Connelly,4210,4210,4210,Curbside,,,Curbside,Bi-weekly,,Yes,19,None,,Yes,,35,Both,Both,Neither,,,,,,,,,,,Yes,4594,Yes,68,,,,643,422,,,,,,,,,,1 or 2,0,Once a Month,Once a Month,1 or 2,Year Round,1 or 2,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,No,No,,
Malden,Ron Zanazzo,26000,17630,17630,Curbside,,,Both,,,,,None,Yes,Yes,32,52,Both,Both,Both,Yes,,,,,,,,,,,9927,Yes,70,,,,2350,1812,,38,,,,,,1304,420,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,2,No,No,,
Manchester,Bill Fitzgerald,2334,2135,2135,Both,,,Both,,Yes,,,None,,Yes,,36,Both,Neither,Both,Yes,,,,,,,,,,,1414,Yes,70,426,185,,,,,40,,,,,,,234,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Yes,1,No,Yes,,
Mansfield,Betty Peter,7523,6575,6575,Curbside,Yes,64,Both,Weekly,Yes,Yes,64,None,,Yes,,52,Both,Both,Neither,,,,,,,Yes,Yes,,,Yes,5849,Yes,74.01,2117,,,67,110,2,,,800,,,,1200,43,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
Marblehead,Andrew Petty,8428,8000,8000,Both,,,Both,,,,,None,Yes,Yes,8,52,Both,Both,Neither,,Yes,3,35,Yes,,,,,Yes,,5547,No,,,,50,1451,889,3,108,14,,,,,6083,31,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Yes,2,No,Yes,,
Marion,Robert C. Zora,2753,2753,2753,Both,,,Both,,Yes,,,None,,Yes,,52,Both,Both,Recycling,,,,,,,,,,,,1618,No,,244,,,,,,,,,,,,410,,Year Round,0,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,Year Round,0,Year Round,Yes,1,Yes,Yes,"Hazardous Products Collection sponsored by CMW District.
Scrap Metal/White Goods, C&D Materials, Swap Shop or Book Re-use by CMW District.
#8 (other recycled materials) scrap metal/white goods and e-waste - CMW District.

Medical Waste/Sharps - Board of Health

Recycling Tonnage - cardboard, steel/tin cans, glass, plastic, newspaper - included in single stream.",
Marlborough,Thomas P. Temple,12000,12000,12000,Both,Yes,65,Both,,Yes,,,None,Yes,Yes,8,52,Both,Both,Neither,,,,,,,,,,,,10728,No,109.6,,,,1092,583,,325,22,,,,,700,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,0,Year Round,Yes,2,No,No,,
Marshfield,Debbie Sullivan,9350,9200,9200,Both,,,Both,,,,,None,Yes,Yes,4,52,Both,Both,Both,Yes,,,,,,,,,Yes,,6462,Yes,,,,,1871,545,,177,30,32,,,,203,88,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,No,,
Mashpee,Catherine Laurent,6118,3812,6118,Drop-off,,,Drop-off,,Yes,,,None,,Yes,,52,Both,Both,Neither,,,,,,,,,,,Yes,3595,No,36.76,721,,158,,,36,214,32,,15,,,944,48,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,4,Yes,Yes,MSW disposal contract with SEMASS began 1/1/1985 (outside allowed date range).,
MATTAPOISETT,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAYNARD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medfield,Kenneth Feeney,3516,2806,2806,Drop-off,,,Drop-off,,Yes,,,Drop-off,,Yes,,52,Neither,Neither,Neither,,,,,,,,,,Yes,,3874,Yes,,870,,,,37,,,105,900,,,,902,36,Year Round,Year Round,Once a Month,Once a Month,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,Yes,,
Medford,Mary Menezes,20274,20000,20000,Both,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,Yes,,16,,Both,Both,Both,Yes,Yes,2,64,Yes,,Yes,Yes,,,Yes,15590,No,76,5477,,,,,,,0,0,,,0,2003,,0,0,Once a Week,Year Round,0,Year Round,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,No,,,,,
Medway,Sarah Pawluczonek,4000,3931,3931,Curbside,,,Both,,,,,None,,Yes,,52,Both,Both,Neither,Yes,,,,,,,,,,,3140,Yes,,,,,931,498,16,472,,99,,,,850,,Once a Week,Year Round,Once a Week,Once a Week,1 or 2,1 or 2,0,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Yes,1,No,No,We are starting a composting distribution program in 2013.  We are considering a single stream curbside recycling program with 96 gallon toters given to each household.  We are also working with our Board of Health to impose mandatory recycling in conjunction with Waste Ban regulations.,
Melrose,Jessie Schmitt,27086,7597,7597,Curbside,,,Both,,,,,None,Yes,Yes,16,50,Both,Both,Neither,,,,,,,,,,,,7496,Yes,65.4,0,0,122,1282,716,,,6867,,,,,,111162,1 or 2,Between 3 & 10,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Yes,1,No,No,"Melrose does not track tonnage of items such as mattresses, carpet, wood and metal but it is collected. Food waste is not collected.",
MENDON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrimac,Board of Selectmen,1930,1616,1616,Curbside,,,Curbside,,Yes,,,None,Yes,Yes,1,33,Both,Recycling,Neither,Yes,,,,,,,,,,,1028,Yes,68.5,478,,,,,,6,,,,,,,8,1 or 2,1 or 2,Once a Week,Once a Week,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,Yes,1,Yes,No,HHW collection partnered with Newburyport,
Methuen,Matt Zettek,17828,13680,15371,Curbside,,,Both,,Yes,,,None,Yes,Yes,26,52,Both,Both,Neither,,,,,,,,,,,,16188,Yes,70,3151,,,,,,133,,,,,,3497,65,0,Year Round,Year Round,Year Round,0,0,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,Yes,,
Middleborough,Andrew Bagas,7000,6000,6000,Curbside,,,Both,,,,,None,,Yes,,52,Both,Both,Neither,Yes,,,,,,,,,,Yes,5724,No,25,,,,394,357,,133,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,"Recycle quantities are unknown for yard waste, C&D, clothing, carpets, paint, etc.",
Middlefield,eric weiss,213,213,213,Drop-off,,,Drop-off,,,,,None,,,,,Both,Both,Both,Yes,,,,,,Yes,Yes,,Yes,Yes,131,Yes,68,,,,16,19,,10,3,,,,,,0,0,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,0,0,Yes,1,Yes,Yes,,
MIDDLETON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milford,Paul A. Mazzuchelli,10000,8900,8900,Curbside,,,Both,,,,,None,,Yes,,52,Both,Both,Neither,,Yes,4,32,Yes,,Yes,Yes,,Yes,,8427,No,75,,,,1659,512,,651,14,76,,,,2120,1300,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,Yes,,
MILLBURY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millis,James F. McKay,3244,847,847,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Recycling,Recycling,Neither,Yes,,,,,,,,,,,488,Yes,,,,,155,87,,27,,,,,,,,0,0,Year Round,Year Round,0,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,No,,,,Millis residents may dispose of household hazardous waste in the near by Town of Norfolk for a fee.,
Millville,Sherry Grant,1008,1008,1008,Both,,,Both,Weekly,Yes,Yes,10,None,,,,,Both,Neither,Neither,,Yes,2,35,Yes,Yes,,,,,,1008,No,74.01,-176,,,,,,,,,,,,,,0,Year Round,Year Round,Year Round,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,No,,,,,
Milton,"John P. Thompson, PE",9408,8790,9248,Curbside,,,Curbside,,Yes,,,None,Yes,,16,,Both,Both,Neither,Yes,,,,,,,,,,Yes,4792,Yes,74,3269,,,,,,32,,,,,,1971,22,Year Round,Year Round,Once a Month,Once a Month,Year Round,Once a Month,Once a Month,Year Round,0,1 or 2,Once a Month,Year Round,Once a Month,Once a Month,Once a Month,0,1 or 2,Yes,1,No,No,,
MONROE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONSON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montague,Jan Ameen,3784,3784,3784,Curbside,,,Both,,,,,None,,Yes,,52,Both,Neither,Neither,Yes,,,,,,,,,,Yes,1270,Yes,82.7,,,,390,248,,32,,,,,,300,11,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,No,,,,,
MONTEREY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTGOMERY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Washington,Jamie Cahillane,70,70,70,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Neither,,,,,,,,,,,Yes,64,Yes,78.75,,,,12,11,,,,,,,,,,1 or 2,0,1 or 2,1 or 2,Between 3 & 10,0,1 or 2,1 or 2,1 or 2,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,No,,,,,
Nahant,Mary Ellen Schumann,1350,1350,1350,Curbside,,,Curbside,,Yes,,,None,,Yes,,28,Both,Both,Both,,,,,,,,,,,,946,Yes,,340,,,,,,,,,,,,,,0,0,Year Round,Year Round,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
NANTUCKET,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natick,Thomas Hladick,12000,9383,9383,Curbside,,,Both,,Yes,,,None,Yes,Yes,6,104,Both,Both,Neither,Yes,,,,,,,,,,Yes,6330,Yes,74.01,2866,211,133,42,32,4,184,13,,,,,8200,33,Year Round,Once a Week,Once a Week,Once a Week,Year Round,Year Round,Once a Week,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
Needham,Ann Dorfman,10350,9500,9500,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Both,Yes,,,,,,,,,Yes,,8099,Yes,74.01,89,1949,366,,828,,175,162,,,,,8195,19,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Year Round,Yes,1,No,No,"Needham accepts trash and recycling from residents, muni, school and also from private residential haulers and contractors. The tonnage figures include all of these. Because the private hauler and contractor trash tonnage is included in our figures, these numbers do not truly reflect the T/R rate for our municipally operated residential PAYT program.",
New Ashford,Sandy Totter,94,0,94,None,,,Drop-off,,,,,None,,Yes,,0,Recycling,Neither,Recycling,,,,,,,,,,,Yes,0,Yes,,,,,6,5,,,,,,,,,,0,0,0,0,0,0,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,No,New Ashford has no municipal MSW service.  Residents privately subscribe with area haulers.  They also have no yard waste drop off.  They promote home composting.,
