Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Applies to Residential Generators Eligible to be Served by Municipal Program,Applies to Residential Generators not Eligible to be Served by the Municipal Program,Applies to Commercial Generators,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Applies to Haulers Serving Residential Generators Eligible to be Served by Municipal Program,Applies to Haulers Serving Residential Generators Not Eligible to be Served by Municipal Program,Applies to Commercial Generators,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2019,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,"Propane tanks 
1 lb.",Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex paint,Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Bags,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2018?,How many events?,Regional,Reciprocal,,
Edgartown,Donald Hatch,4696,1860,1860,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Both,Both,Both,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,2750,No,0,Yes,,165,422,,,,,,,,,,,3,,18,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,0,0,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,3,Yes,No,,
Egremont,Juliette Haas,820,820,820,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Neither,Both,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,Yes,No,,Yes,Yes,,Yes,Yes,,Yes,408.1,No,30.71,Yes,,90,0,,,109.1,82.01,2.88,29.72,2,,,,0.5,1,0.25,30.71,Between 3 & 10,0,Year Round,Year Round,0,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,Between 3 & 10,Year Round,0,Year Round,Between 3 & 10,Between 3 & 10,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,No,,,,,
Erving,Jan Ameen,583,583,583,Curbside,,,Curbside,Weekly,,,,None,,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,Yes,260,No,0,Yes,,77,0,,,131.39,107.95,,,,,,,,,5.36,,0,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Once a Month,Once a Month,0,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,No,,,,,
Essex,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everett,Rachel Kelly,15591,15000,15000,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,19,,Both,Both,Both,Both,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13855,Yes,0,Yes,,71.5,0,,,,,,,,,,,,,,,1 or 2,0,0,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,1 or 2,1 or 2,0,Year Round,1 or 2,1 or 2,Year Round,0,Year Round,Year Round,0,1 or 2,Yes,1,No,No,,
Fairhaven,Mary Freire-Kellogg,7000,6419,6600,Curbside,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,4,52,Both,Both,Neither,Neither,Yes,Yes,,,,20,,,,Yes,1,64,Yes,Yes,No,Yes,Yes,Yes,,Yes,Yes,No,,Yes,Yes,,,,,Yes,5076,Yes,0,No,52,67.88,1550,,5.03,,4,0.75,44,7.1,,,,,1700,12,10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
Fall River,John Perry,34200,30600,30600,Curbside,Yes,95,Curbside,Weekly,Yes,Yes,95,None,34,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,3,95,Yes,,No,,,,,,,,,,,,,,,,17238.59,Yes,0,Yes,780,74,7428,,,,,,,,,,,,,,,0,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,0,0,Once a Month,Once a Month,Year Round,Year Round,0,Year Round,0,0,0,0,Year Round,0,0,0,No,,,,,
Falmouth,Peter M. McConarty,21000,21000,21000,Both,,,Curbside,Bi-weekly,Yes,,,Drop-off,,52,Both,Both,Neither,Neither,Yes,,Yes,,,,40,,,,,,,,,,,,,,,,,,,,,Yes,,,11279,No,0,Yes,,60.94,3024,,,,3024,1.5,498.3,7.33,,21.67,,6.75,,1.23,130,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,4,Yes,Yes,,
Fitchburg,Jean-Francois Leblanc,17012,13500,13500,Both,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,16,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,No,,Yes,Yes,,Yes,Yes,Yes,,10764.85,No,2002,Yes,,40.91,2936.52,,,,,,90,,,,,,806.22,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Year Round,0,0,0,0,Between 3 & 10,Yes,2,Yes,Yes,,
Florida,Linda Cernik,350,178,178,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Neither,Yes,,Yes,,,,10,,,,,,,,,,,,,,,,,,,,,,,,289.81,No,50.62,Yes,,,,,,22.06,13.12,,24.17,0.91,,,,,,2.4,,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,1 or 2,0,1 or 2,No,,,,,
Foxborough,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Framingham,Stephen Sarnosky,26173,18276,18276,Both,Yes,96,Both,Weekly,Yes,Yes,96,None,8,36,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,13136,Yes,0,Yes,,72.5,5611,0,129,82,24.9,46.61,328,51.25,,23.65,23.34,,193.27,43.55,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,2,No,No,,
Franklin,Chris White,11550,9200,9200,Curbside,Yes,65,Both,Weekly,Yes,Yes,65,None,3,52,Both,Both,Recycling,Recycling,,Yes,,,,204,,,,Yes,3,65,Yes,Yes,No,Yes,Yes,,,,Yes,,,,,,,,,,7142,Yes,0,Yes,52,68.18,3111,,76.69,,,41,222.73,4.35,,30.12,25,,486,35,20.44,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,52,No,Yes,,
Freetown,Derek Macedo,4230,2365,2365,Curbside,,,Both,Weekly,Yes,,,None,,52,Both,Neither,Neither,Neither,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,,1660,Yes,,Yes,,75,735,,32,13,,2.75,,0.06,,2,,,4.05,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,Year Round,No,,,,,
Gardner,Jennifer Susen-Roy,11227,6600,6600,Both,Yes,48,Both,Bi-weekly,Yes,Yes,96,Drop-off,10,52,Both,Both,Recycling,Neither,,Yes,Yes,,Yes,200,20,,,,,,,,,Yes,Yes,,Yes,Yes,,No,,,,,,,,Yes,4135.23,No,0,Yes,,75,1516.63,0,39.89,,1.1,,,2.63,,17.55,,,17.93,5.35,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,1 or 2,0,0,Year Round,Year Round,Year Round,0,0,Yes,2,No,Yes,,
Georgetown,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gill,Jan Ameen,510,510,510,Curbside,,,Curbside,Weekly,,,,None,,,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,Yes,201,No,0,,,75,,,,63.57,81.92,,,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,Once a Month,Once a Month,1 or 2,1 or 2,Once a Month,Once a Month,0,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,0,1 or 2,1 or 2,1 or 2,0,1 or 2,No,,,,,
Gloucester,Rose LoPiccolo,13825,12850,12850,Curbside,,,Curbside,Weekly,Yes,,,None,8,24,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,6842.77,Yes,0,Yes,,70,3663.66,,,,,,125,,,,,40,550,,,Once a Month,Once a Month,0,0,Once a Month,Once a Month,Once a Month,0,1 or 2,Once a Month,0,1 or 2,Once a Month,Year Round,Once a Month,Once a Month,Once a Month,0,0,0,0,0,0,Once a Month,Yes,2,No,No,,
Goshen,Kathleen A. Casey,557,226,226,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,Yes,,,Yes,30,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,,,Yes,138.57,No,7.91,Yes,,79,,,,28.38,21.18,,5.77,1.6,,,,,,1.01,,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,Year Round,No,,,,,
Gosnold,Asa Lombard IV,185,120,120,Curbside,,,Both,Weekly,Yes,Yes,30,None,,,Both,Both,Both,Both,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,67.33,No,5,Yes,,125,,,,,,,,,40,0.11,,,,,40,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
Grafton,Rebecca Meekins,6200,4650,4650,Curbside,,,Curbside,Bi-weekly,Yes,Yes,96,None,,28,Both,Both,Neither,Neither,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,3121,Yes,0,Yes,,68.86,1812,,,,,,,35.87,,,,,,,,0,0,0,Year Round,0,Year Round,Year Round,Year Round,0,0,0,0,Year Round,Year Round,0,0,0,0,Year Round,Year Round,0,0,0,0,No,,,,,
Granby,Christopher Martin,2776,2776,2776,Curbside,,,Curbside,Weekly,Yes,,,None,,4,Both,Both,Recycling,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,1257.53,No,0,Yes,,75,,,,,,,,,10.5,,,,6.75,,,0,0,Between 3 & 10,Between 3 & 10,Year Round,0,0,0,0,0,0,1 or 2,0,0,0,0,0,0,Year Round,0,0,0,0,0,No,,,,,
Granville,Matthew Streeter,562,450,450,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Both,Both,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,Yes,,No,,Yes,Yes,,,Yes,,,191.05,Yes,0,Yes,,73,84.51,,,,,,26.45,,,,,,,11.78,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,0,0,No,,,,,
Great Barrington,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenfield,Janine Greaves,5604,5604,5604,Both,,,Both,Bi-weekly,,,,Drop-off,3,52,Both,Recycling,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,Yes,3562,Yes,0,Yes,,,,,,868,541,,201,,,34.82,,,31.91,13.99,92,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Yes,248,No,No,,
Groton,Tom Delaney,3906,1459,3906,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Both,Recycling,Yes,,Yes,,Yes,,60,,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,772.19,No,208.42,Yes,,74,,,63.2,262.4,187.61,11.57,76.2,23.17,,,,,2.45,32.11,208.42,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,0,Year Round,No,,,,,
Groveland,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadley,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halifax,Susan Johnston,3184,2754,3184,Both,,,Curbside,Bi-weekly,Yes,,,None,,0,Both,Both,Neither,Neither,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,Yes,Yes,Yes,Yes,Yes,,Yes,695.15,No,135.23,Yes,,87.5,346.57,,34.16,,,5.16,26.45,4.5,,4.9,,,,8,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,3,No,No,,
Hamilton,Timothy Olson,2906,2906,2906,Curbside,Yes,35,Curbside,Weekly,Yes,,,Curbside,3,52,Both,Neither,Both,Neither,Yes,,,,Yes,,,,Yes,Yes,9999999999,35,Yes,Yes,No,,,,,,,,,,,,,,,,1457.69,Yes,0,Yes,52,67.84,1114.6,,,,,,6.5,35.5,,,,238.59,,6.45,,Once a Month,Once a Month,Once a Month,Once a Month,1 or 2,Year Round,0,0,1 or 2,0,1 or 2,1 or 2,Once a Month,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Once a Week,Once a Week,0,0,1 or 2,Yes,1,No,No,,
Hampden,Jane Budynkiewicz,1800,543,543,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Neither,Neither,,Yes,,,,40,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,100,No,0,,,90,0,90,85,107.37,78.43,5,0,,,,,,,,,0,0,0,0,1 or 2,1 or 2,0,0,1 or 2,0,Year Round,1 or 2,0,0,1 or 2,1 or 2,1 or 2,0,0,0,Year Round,Year Round,0,0,No,,,,,
Hancock,Linda Cernik,310,250,250,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,Yes,,Yes,,,,10,,,,,,,,,,,,,,,,,,,,,,Yes,,199.73,No,31.72,No,,,,,,28.05,16.14,,23.82,1.15,,,,,,11100,,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,1 or 2,0,1 or 2,No,,,,,
Hanover,Victor Diniak,5000,5000,5000,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,Yes,Yes,,4779.4,No,191.3,Yes,,83.3,0,,372.59,195,330.58,,354.13,84.11,0,32.09,,,,55.72,1089.36,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,Yes,Yes,,
Hanson,Theresa Cocio,3700,2450,2450,Drop-off,,,Drop-off,,Yes,,,None,,52,Neither,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,Yes,,Yes,40,Yes,Yes,Yes,Yes,,,Yes,940,Yes,0,Yes,,57.79,501.5,,71,,,,68.5,19.9,,2.23,,,1000,15.3,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,Year Round,No,,,,,
Hardwick,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvard,Tim Kilhart,1934,1370,1465,Drop-off,,,Drop-off,,,,,None,,0,Both,Recycling,Neither,Neither,,,Yes,,,,250,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,,,1104.49,No,75.89,Yes,,80,,,,325.13,144.82,,83.31,12.26,,,,,,2.52,75.89,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Once a Month,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,No,,,,,
Harwich,Lincoln Hooper,10255,5530,5530,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Both,Yes,Yes,Yes,,,160,10,,,,,,,,,,,,,,,,,,,,,Yes,,,4768,No,0,Yes,,57.79,,98,332,81,367,,404,65,,78.29,,,1816,64,11902,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,6,Yes,No,,
Hatfield,Garrett Barry,2689,482,482,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Neither,Neither,Yes,,Yes,,,,50,,Yes,,,,,,,,,,,,,,,,,,,,,,196.74,No,0,Yes,,,,,,68.38,44.99,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,Year Round,0,0,0,0,0,0,0,Year Round,0,0,No,,,,,
Haverhill,Kalli Savvas,21300,20928,20928,Curbside,Yes,64,Both,Bi-weekly,Yes,,,None,4,39,Both,Both,Both,Neither,Yes,,,,,,,,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,19,,,,,,,Yes,19234.88,Yes,0,Yes,,58.71,5252.54,,,,,,77.67,12.05,,,,,488.16,12.71,,0,Year Round,1 or 2,1 or 2,Once a Month,1 or 2,Year Round,Year Round,1 or 2,0,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,No,,
Hawley,Jan Ameen,165,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Yes,0,,,,,,,,,,,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,Once a Month,Once a Month,1 or 2,1 or 2,Once a Month,Once a Month,0,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,0,1 or 2,0,1 or 2,0,1 or 2,No,,,,,
Heath,Jan Ameen,379,336,336,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,15,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,Yes,,Yes,121.32,No,0,,,77,,,,32.59,30.82,,15.3,3.02,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,Once a Month,Year Round,Year Round,Year Round,Once a Month,Once a Month,0,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,Year Round,No,,,,,
Hingham,Randy Sylvester,7476,7476,7476,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Recycling,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,,No,,Yes,Yes,Yes,Yes,Yes,,,4690.8,No,1381.2,No,,63.04,,,456.47,629.05,582.87,24.48,358.77,114.45,,15.75,,,8220,70.74,1381.3,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,Yes,,
Hinsdale,Linda Cernik,742,550,550,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,65,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,268.38,No,50.43,Yes,,,,,,38.24,27.04,,16.1,1.31,,,,,,8.66,,Year Round,Between 3 & 10,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,1 or 2,0,1 or 2,No,,,,,
Holbrook,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holden,Pamela Harding,7540,5900,5900,Curbside,Yes,65,Curbside,Bi-weekly,Yes,Yes,95,None,,14,Both,Neither,Neither,Neither,,,,,Yes,,,,,,,,,,,Yes,Yes,,,,,,,,,,,Yes,Yes,Yes,4674.02,No,0,Yes,,68.18,1968.04,,16.5,20,4.4,9.24,43.6,1.89,,13.97,,,,27.23,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,No,,,,,
Holland,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holliston,Andrea Minihan,5043,4566,4566,Curbside,,,Curbside,Weekly,,,,None,1,52,Both,Both,Recycling,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,3590.88,No,0,No,,68.18,,,,961.45,640.96,,,,,,,,,,,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,0,0,0,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Year Round,0,0,Yes,9,No,Yes,,
Holyoke,Jim Dupuis,16200,9950,9950,Both,,,Both,Bi-weekly,,,,None,20,33,Recycling,Recycling,Recycling,Recycling,Yes,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,20,,,,,,,,7794,Yes,0,No,,,,,,1121.24,615.24,,143.17,,,11,,,1270.58,32.48,574.59,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,0,0,0,0,0,0,Year Round,Yes,2,No,No,,
Hopedale,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopkinton,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubbardston,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson,Kelli M. Calo,7705,1694,1694,Drop-off,,,Drop-off,,,,,Drop-off,,33,Both,Both,Neither,Neither,,,Yes,,,,10,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,1209.93,Yes,0,Yes,,,,131,,,204.34,,,,,,,,157.68,,,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,0,0,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Yes,2,Yes,No,,
