Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2017,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks 1 lb.,Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Bags,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2016?,How many events?,Regional,Reciprocal,Comments/Additional Information,,
East Longmeadow,Aimee Petrosky,5500,5500,5500,Both,,,Both,Weekly,,,,None,2,52,Both,Both,Neither,Neither,Yes,Yes,Yes,,Yes,50,50,,Yes,Yes,1,33,,Yes,,,,,,,,,,,2782,No,33383,No,,63,,,,909,553,,82.68,,226.3,5.25,,,,298,,0,Year Round,Year Round,0,Year Round,Year Round,0,0,0,0,0,Year Round,Year Round,Year Round,1 or 2,Year Round,0,0,0,0,0,0,0,No,,,,,,
Eastham,Neil Andres,5819,3748,3748,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Both,Yes,Yes,,Yes,,120,,10,,,,,,,,,,,,,,Yes,Yes,Yes,2767.33,No,655.91,Yes,,154,,93.98,154.72,190.72,191.11,15.27,240.75,15.14,,55.84,,,1177.84,33.58,599.96,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,2,No,Yes,,,
EASTHAMPTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easton,David Field,5700,3890,3890,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,96,None,,4,Both,Both,Neither,Neither,,Yes,,,,280,,,,Yes,1,64,,Yes,,,,,,,,,,,312.4,Yes,,No,4,73.54,147.6,,,,,,,,,,,,,,,1 or 2,1 or 2,Year Round,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,0,0,0,0,0,Yes,1,No,No,,,
Edgartown,Donald Hatch,4695,1200,1200,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Both,Both,Both,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,2884.84,No,0,Yes,,160,601,,,,,,,15,,0,,,200,17,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,0,0,Yes,4,Yes,No,Edgartown local Drop-Off is mixed tonnages for hard to manage materials with the Main Transfer Station one of the same buildings,,
Egremont,Juliette Haas,825,825,825,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Neither,Both,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,No,,Yes,Yes,,Yes,390,No,25,Yes,,86,,,,109,88,3.83,21,0.26,,,,33.75,0.27,0.5,-25,Year Round,0,Year Round,Year Round,0,Year Round,0,0,0,0,Between 3 & 10,Year Round,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,0,No,,,,,,
Erving,Jan Ameen,592,592,592,Curbside,,,Curbside,Weekly,,,,None,,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,424.8,Yes,,Yes,,73,,,,117.63,48.95,,5.24,,,,,,,5.75,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
ESSEX,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everett,Rachel Kelly,16231,13644,13644,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,20,,Both,Both,Both,Neither,Yes,,,,,,,,,Yes,1,64,Yes,,Yes,,,,,,,,,,13309,Yes,,,,70.02,4414.36,,,,,,,,,,,,,,,1 or 2,1 or 2,Once a Week,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Year Round,1 or 2,Year Round,0,1 or 2,Yes,1,No,No,,,
Fairhaven,Patricia Fowle,6800,6330,6330,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,5,52,Both,Both,Neither,Neither,Yes,,Yes,Yes,,,20,20,,,,,,,,Yes,,,,,,,,,4956,Yes,,Yes,,62.52,1539,,,,,,20.76,,595,,,,3115,12.1,,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Yes,1,No,No,,,
Fall River,John Perry,34000,30600,30600,Curbside,Yes,95,Curbside,Weekly,Yes,Yes,95,None,40,52,Both,Both,Both,Neither,,,,,Yes,,,,Yes,,,,,,,,,,,,Yes,,,,18128.32,Yes,,Yes,,66.44,8167.86,0,90,,89.25,0.38,89.48,5.12,,124.3,,,2329,129.65,,0,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Once a Month,0,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,,
Falmouth,Peter M. McConarty,20000,20000,20000,Both,,,Both,Bi-weekly,Yes,,,None,,52,Both,Both,Neither,Neither,Yes,,Yes,Yes,,,40,20,,,,,,,,,,,,,,Yes,,,11398,No,0,Yes,,,,,,,,,,,,18.07,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,0,0,Yes,4,Yes,No,,,
Fitchburg,Jean-Francois Leblanc,16500,13500,13500,Both,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,16,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,,Yes,20,Yes,Yes,Yes,Yes,10102.64,No,1355,Yes,,,3265.27,,,,,,68,,,,,,752.69,,,Year Round,Year Round,Year Round,0,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Year Round,0,Year Round,Year Round,0,Between 3 & 10,Yes,4,Yes,Yes,,,
Florida,Linda Cernik,265,265,265,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,287,No,47.05,Yes,,,,,,23.65,14.45,,10.82,,,,,,,3,,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,Yes,1,Yes,No,,,
FOXBOROUGH,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Framingham,Stephen,28079,17806,17806,Both,Yes,96,Both,Weekly,Yes,Yes,96,None,12,37,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,96,Yes,,No,,,,,,,,,Yes,16560,Yes,,Yes,,,5213.24,0,106.48,65.13,11.36,38.45,218.25,8.99,,19.59,26.83,,453.06,51,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,Year Round,Yes,2,No,No,Oil-based paints are collected twice per year.,,
Franklin,Chris White,11500,9100,9100,Curbside,Yes,65,Both,Weekly,Yes,Yes,65,None,3,52,Both,Both,Recycling,Neither,,Yes,,,,204,,,,Yes,3,65,Yes,Yes,No,Yes,Yes,Yes,No,,,,,,6989,Yes,,Yes,1,66,3315,,28.82,,10,50,190,5.04,,14.9,13.23,,270,42,30,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,52,Yes,Yes,"styrofoam - 4,450 pounds per yearthe construction debris is tubs, toilets and sinks for recycle at the recycling center wm classifies as construction debris",,
Freetown,Kevin Bernardo,3200,2560,2560,Curbside,,,Curbside,Weekly,Yes,,,None,,52,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,1500,No,0,Yes,,60,700,,30.29,11.33,2.9,2.25,60,,,0,,0,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,,,
Gardner,Jennifer Susen-Roy,9169,6420,6420,Both,Yes,48,Both,Bi-weekly,Yes,Yes,96,None,10,52,Both,Neither,Recycling,Neither,,Yes,,,,200,,,,,,,,,,,,,,,,,,Yes,3986,No,0,Yes,,72,1551.87,,160,,80,,45.35,2.63,,13.37,,,284,7.17,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,0,Yes,2,No,Yes,,,
GEORGETOWN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gill,Jan Ameen,507,507,507,Curbside,,,Curbside,Weekly,,,,None,,,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,208.29,No,0,,,75,,,,68.69,55.9,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
Gloucester,Rose LoPiccolo,13800,12500,12500,Curbside,,,Curbside,Weekly,Yes,,,None,8,22,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,No,,Yes,,,,6454.11,Yes,,Yes,,68,2988.61,,,,,,95,,,,,,500,9,,Once a Month,Once a Month,Once a Month,0,Once a Month,Once a Month,1 or 2,1 or 2,1 or 2,Once a Month,1 or 2,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,0,0,0,0,0,1 or 2,Yes,2,No,No,,,
Goshen,Kathleen A. Casey,556,265,265,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,Yes,,,Yes,30,,,Yes,,,,,,,Yes,Yes,,No,,,,,Yes,126.65,No,6.66,Yes,,72,,,,34.99,22.83,,5.2,2.15,,,,,,1.13,,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,0,No,,,,,,
GOSNOLD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grafton,Rebecca Meekins,6984,4668,4668,Curbside,,,Curbside,Bi-weekly,Yes,Yes,96,None,,32,Both,Both,Neither,Neither,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,3086.69,No,0,No,3,65,1908.34,,,,,,,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,Year Round,Year Round,1 or 2,Yes,1,No,No,,,
Granby,CHRISTOPHER MARTIN,2700,2280,2280,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,8,Both,Both,Recycling,Neither,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,1086.37,No,0,Yes,,,399.01,,,,,,,,20.13,0.28,,,11.34,2.92,,0,1 or 2,1 or 2,1 or 2,Year Round,0,0,0,0,0,1 or 2,1 or 2,0,1 or 2,1 or 2,1 or 2,0,0,0,0,0,0,0,No,,,,,,
Granville,Matthew Streeter,560,450,450,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Both,Both,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,No,,Yes,,Yes,,197.62,Yes,,Yes,,61,96.96,,,,,,37.55,0.25,,,,,,8.21,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,0,0,No,,,,"Generally, to dump at our transfer station one must: (1) be a resident or business in Granville if they show proof of residency; and (2) purchase a punch card with a check. Punch cards cost $75.00 and can be purchased in four bag size preferences: Sixty 13-gallon punches; Thirty 30-gallon punches; twenty 42-gallon punches and fifteen 50-gallon punches. We do not sell or provide stickers. The PAYT program collects enough money to cover our costs, but we appropriate in our budget the amount we believe we will collect in PAYT payments instead of setting up a revolving fund. Our transfer station attendant monitors and enforces the mandatory recycling requirement at the transfer station. Local private haulers are responsible for enforcing the mandatory recycling for their customers. In lieu of residents having access to a comprehensive household hazardous waste collection event in another community, the town does contract with NEDT Household Hazardous Products Collection Center in neighboring Westfield to provide year-round opportunity to dispose of a comprehensive list of hazardous products not accepted at the Transfer Station. To incentivize the program the Town pays the first $30 of residents' costs for disposal. This program is advertised at the Transfer Station, on the Town websites and several times a year in the local monthly newsletter. Nearly one ton (0.82) of hazardous materials were collected in CY 2016 at NEDT from Granville residents.",,
GREAT BARRINGTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenfield,Janine Greaves,5752,5752,5752,Both,,,Both,Bi-weekly,,,,Drop-off,4,52,Both,Recycling,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,,,,,,,,Yes,3413,Yes,,Yes,,,,,,915,555,19,201,,,24.86,,,31.91,24.45,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,0,Yes,248,No,No,We accept HHW year round from Greenfield and Leyden Residents,,
Groton,Tom Delaney,3806,1371,1371,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Both,Recycling,Yes,,Yes,,Yes,,47,,Yes,,,,,,,,,,,,,,Yes,Yes,815.32,No,243.29,Yes,,70,,,84.15,198.01,171.95,11.24,86.76,19.68,,,,,21.06,16,243.29,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,0,Year Round,No,,,,Bulky and C&D are collected in the same container and sorted by the hauler. A total 586.56 tons were collected. Approximately half is bulky and half C&D collected.,,
GROVELAND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HADLEY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halifax,Susan Johnston,3005,2275,3005,Curbside,,,Both,Bi-weekly,Yes,,,None,,0,Both,Both,Both,Neither,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,No,,Yes,Yes,,Yes,900.14,Yes,,Yes,,105.96,288.56,23.48,27.56,18.61,28.06,3.1,35.34,3.28,,2.2,,,,10.69,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,12,No,No,,,
Hamilton,Timothy J. Olson,2964,2964,2964,Curbside,Yes,35,Curbside,Weekly,Yes,,,Curbside,3,52,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,Yes,1,35,,Yes,,,,,,,,,,Yes,1323.82,Yes,,No,52,64.58,1019.08,,,,,,,11.3,,,,250.74,,,,Once a Month,Once a Month,Once a Month,Once a Month,1 or 2,Year Round,0,0,1 or 2,0,1 or 2,0,Year Round,Once a Month,Year Round,Year Round,0,0,Once a Week,Once a Week,0,0,1 or 2,Yes,1,Yes,Yes,,,
Hampden,Jane Budynkiewicz,1800,855,855,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Neither,Neither,,Yes,,,Yes,40,,,Yes,,,,,,,,,,,,,,,,247.46,No,0,,,124.85,51.7,,91.17,,,6,,,,,,,,,,0,0,0,0,1 or 2,0,0,0,1 or 2,0,1 or 2,0,0,1 or 2,1 or 2,1 or 2,0,Year Round,0,Year Round,0,0,0,Yes,1,No,Yes,,,
Hancock,Linda Cernik,296,296,296,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,186.47,No,40.79,No,,,,,,24.17,14.45,,19.54,,,,,,,6.11,,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,Yes,1,No,No,,,
Hanover,Victor Diniak,4950,4950,4950,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Recycling,Neither,Yes,,,,,,,,,,,,,,,Yes,,,,,,Yes,,,4672.46,No,194.74,Yes,,78,,,354.59,258.56,316.87,,333.87,93.72,,26.42,,,,64.55,889.14,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,Year Round,Yes,2,Yes,Yes,,,
Hanson,Theresa Cocio,3745,2450,2450,Drop-off,,,Drop-off,,Yes,,,None,,52,Neither,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,No,,Yes,,,,898,Yes,,Yes,,55,498,,68,,,,24,14,,3.82,,,1000,15.7,,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Once a Month,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,Year Round,Yes,1,No,Yes,,,
HARDWICK,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvard,Ron Gilbert,1928,1327,1327,Drop-off,,,Drop-off,,,,,None,,4,Both,Recycling,Recycling,Neither,,,Yes,,,,250,,,,,,,,,,,,,,,,Yes,,1294.3,No,219.89,Yes,,70,,,,293.97,135.82,,106.52,10.34,,,,,,,206.08,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,0,No,,,,"Bulky waste and C&D are collected together and recycled at the collection facility, Devens Recycling.",,
Harwich,Lincoln Hooper,10255,5500,5500,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Both,Yes,Yes,Yes,Yes,,160,85,10,,,,,,,,,,,,,,Yes,,,4472,No,77,Yes,,,,154,308,106,355,,396,60,,58.82,,,769,47.5,8110,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,6,Yes,No,,,
HATFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill,Franco Cordano,25675,20495,20495,Curbside,Yes,64,Curbside,Bi-weekly,Yes,,,None,4,36,Both,Both,Both,Neither,Yes,,,,,,,,,Yes,1,64,Yes,,Yes,Yes,Yes,,Yes,19,,,,,18349.05,No,242,Yes,52,,5121.47,,,,,,83.92,10.26,,,,,2468.86,36.2,,0,Year Round,1 or 2,1 or 2,Once a Month,Year Round,Year Round,Year Round,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,2,Yes,No,-Condo complexes and apartments up to eight (8) units are collected through the City's program. 9+ units must be private collection. -Bulk Items - Limit one (1) per residential customer per week free of charge. Any additional items must be paid per fee schedule. -Bulk Item tonnage only includes 9 months of program since inception of Automation. (YTD = 242 tons. Anticipated full year = 360 tons)-Trash Limit - One (1) sixty-four (64) gallon cart for trash issued to each eligible household. All trash must fit inside the cart unless resident chooses to utilize Overflow Bag Program or renting an additional cart from the City. -Tires - Collected 509 Individual Car Tires. 2 Truck Tires and 3 Loader Tires.,,
Hawley,Jan Ameen,170,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,,0,No,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
Heath,Jan Ameen,373,277,277,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Neither,Neither,Yes,,Yes,,,,75,,,,,,,,,,,,,,,,,Yes,182.48,No,2.29,Yes,,69,,,,34.96,29.39,,16.64,2.48,,,,,,0.84,,0,0,1 or 2,1 or 2,0,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,0,Year Round,No,,,,,,
Hingham,Randy Sylvester,7402,7249,7249,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Recycling,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,No,,Yes,Yes,,,7251,Yes,,No,,,,,395.5,702.3,663.6,27.6,324,109,,29.54,,,4907,28.23,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,Yes,,,
Hinsdale,Linda Cernik,740,465,465,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,Yes,Yes,,,,45,,,,,,,,,,,,,,,,,Yes,Yes,433.6,No,43.42,Yes,,,,,,31.17,21.09,,21.86,,,,,,,8.41,,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,Yes,1,Yes,No,,,
Holbrook,Noreen Jordan,3800,3357,3357,Curbside,,,Curbside,Weekly,Yes,,,None,4,6,Both,Both,Neither,Neither,,Yes,,,Yes,150,,,Yes,,,,,,,,,,,,,,,,1774.01,Yes,,Yes,,70,,,,,,,,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Yes,1,No,No,,,
Holden,Pamela Harding,6730,5750,5750,Curbside,Yes,65,Curbside,Bi-weekly,Yes,Yes,95,None,,12,Both,Neither,Neither,Neither,,Yes,,,,207,,,,,,,,,,Yes,,Yes,,,,,,,4704.26,No,0,Yes,,66,1800.29,,,,,7.94,45.17,2.49,,8.33,,,,25.86,,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,6,Yes,No,,,
HOLLAND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holliston,Andrea Minihan,4997,4547,4547,Curbside,,,Curbside,Weekly,,,,None,,52,Both,Both,Recycling,Neither,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,3567.88,No,0,No,,66,,,,907.54,600.45,,,,,,,,,,,1 or 2,Between 3 & 10,Year Round,Year Round,1 or 2,1 or 2,0,0,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Year Round,0,0,Yes,1,No,Yes,,,
Holyoke,timothy e price sr,16200,9950,9950,Both,,,Both,Bi-weekly,,,,None,20,35,Recycling,Recycling,Recycling,Recycling,Yes,,,,,,,,,,,,,,,,,,,,,,,,6356.24,No,36.44,No,,,,,,1138.81,686.38,,238.73,,,36.46,,,1574.5,28.58,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Year Round,0,Year Round,Yes,2,No,No,,,
