Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Applies to Residential Generators Eligible to be Served by Municipal Program,Applies to Residential Generators not Eligible to be Served by the Municipal Program,Applies to Commercial Generators,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Applies to Haulers Serving Residential Generators Eligible to be Served by Municipal Program,Applies to Haulers Serving Residential Generators Not Eligible to be Served by Municipal Program,Applies to Commercial Generators,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2017,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks 1 lb.,Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Bags,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2017?,How many events?,Regional,Reciprocal,Comments/Additional Information,,
East Longmeadow,Elizabeth Bone,5544,5544,5544,Both,,,Both,Weekly,,,,None,52,52,Both,Both,Neither,Neither,Yes,Yes,Yes,,Yes,50,50,,Yes,Yes,1,33,Yes,Yes,No,Yes,Yes,Yes,,Yes,Yes,No,,,,,,,,Yes,4037.75,No,121.49,Yes,,73,,,,836.57,558.3,,179520,2.86,568.84,0.3,,,3107.69,20.16,,0,0,Once a Week,Once a Week,Once a Week,Once a Week,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Once a Week,Once a Week,Once a Week,Between 3 & 10,Between 3 & 10,0,Year Round,Year Round,0,0,0,0,No,,,,"We have a reciprocal event with neighboring towns, usually held in Wilbraham, MA.",,
Eastham,neil andres,5000,3760,3760,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Both,Yes,,Yes,Yes,,,120,10,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,2636.95,No,697,Yes,,154,,83.3,149.38,178.46,258.15,25.93,265.89,30.54,,20.8,,,492,24.1,678.26,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,0,,Yes,2,No,Yes,"Compost was reported as tons shipped- we still had some in the pile
The number of users was listed as the number of primary stickers (did not count second vehicle) There is no way to tell haow many users paid the $10 gate fee for a single use of the facil",,
EASTHAMPTON,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easton,David Field,5734,3965,3965,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,96,None,,4,Both,Both,Neither,Neither,,Yes,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,3660,No,0,No,4,75.38,1612.73,,,,,,,,,,,,,,,1 or 2,1 or 2,0,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,Year Round,0,0,0,0,,Yes,1,No,No,,,
Edgartown,Donald Hatch,4694,1200,1200,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Both,Both,Both,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,2750,No,0,Yes,,162,525,,,,,,,16,,,,,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Year Round,0,0,Yes,4,Yes,No,,,
Egremont,Juliette Haas,826,826,826,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Neither,Both,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,,No,,Yes,Yes,,Yes,Yes,,Yes,409.44,No,29.72,Yes,,86,,,,118.81,88.85,5.5,31.19,0.25,,,,56.25,4.05,0.75,29.72,0,0,Year Round,Year Round,0,0,0,0,0,0,0,Year Round,0,Year Round,Year Round,0,0,Year Round,Year Round,,Year Round,0,0,No,,,,,,
Erving,Jan Ameen,596,596,596,Curbside,,,Curbside,Weekly,,,,None,,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,Yes,369.25,No,67.88,Yes,,75,,,,88.53,47.66,,2.94,,,,,,8,6.08,,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
ESSEX,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everett,Rachel Kelly,16716,16230,16230,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,17,,Both,Both,Both,Neither,Yes,,,,,,,,,Yes,1,64,Yes,,Yes,,,,,,,,,,,,,,,,13712.49,Yes,0,,,,4554,,,,,,,,,,,,,,,1 or 2,1 or 2,Once a Week,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,1 or 2,Year Round,0,1 or 2,Yes,2,No,No,,,
Fairhaven,Mary Freire-Kellogg,6094,5888,5888,Curbside,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,5,52,Both,Both,Neither,Neither,Yes,,Yes,Yes,,,20,20,,,,,,,,Yes,Yes,Yes,,Yes,Yes,Yes,4,,,,,,,,4888,Yes,0,Yes,,63.97,1575.77,,4.14,,3.47,4,43.6,,,,,,1610,10.78,,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,,No,,,,Fairhaven is in the process of expanding our recycling programs,,
Fall River,Jeffrey Little,34000,30600,30600,Curbside,Yes,95,Curbside,Weekly,Yes,Yes,95,None,40,52,Both,Both,Both,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,,,,,,17070.66,Yes,0,Yes,,66.44,6960,0,125.25,,85,0.43,89.84,5.2,,121.55,,,2618,128.71,,0,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Once a Month,0,Once a Month,Year Round,Year Round,0,Year Round,Year Round,0,0,Year Round,,Year Round,,,No,,,,,,
Falmouth,Peter M. McConarty,21000,21000,21000,Both,,,Both,Bi-weekly,Yes,,,None,,52,Both,Both,Neither,Neither,Yes,,Yes,,,,40,,,,,,,,,,,,,,,,,,,,,Yes,,,7577.38,No,0,Yes,,60.94,2983,,,,,,122.75,9.7,,15.84,,,,7.73,115,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,,,Yes,4,Yes,Yes,,,
Fitchburg,Jean-Francois Leblanc,17012,13500,13500,Both,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,16,52,Both,Both,Neither,Both,Yes,Yes,,Yes,,35,,50,,,,,,,,Yes,Yes,,,Yes,,Yes,6,Yes,Yes,,,Yes,Yes,,10622.77,No,1803,Yes,,,3503.47,,,,,,70,,,,,,690.08,,,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Year Round,0,0,0,0,,Yes,2,Yes,Yes,,,
Florida,Linda Cernik,350,240,240,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Neither,Yes,,Yes,,,,10,,,,,,,,,,,,,,,,,,,,,,,,274.48,No,39.66,Yes,,,,,,20.98,13.52,,14.7,3.58,,,,,,3,,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,0,0,No,,,,"HHW secured for member towns in the district June 2, 2018. Transfer station has clothing collection with Salvation Army",,
FOXBOROUGH,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Framingham,Stephen Sarnosky,26173,18235,18235,Both,Yes,96,Both,Weekly,Yes,Yes,96,None,11,35,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,96,Yes,,No,,,,,,,,,,,,,,,Yes,16995.53,Yes,0,Yes,,,5346,,91.05,62.31,29.1,34.8,191.88,9.34,,1154,19.08,,204.5,45.92,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,0,0,Yes,2,No,No,Hardened Latex Paint is accepted in trash (year round),,
Franklin,Chris White,11500,9100,9100,Curbside,Yes,65,Both,Weekly,Yes,Yes,65,None,3,52,Both,Both,Recycling,Recycling,,Yes,,,,204,,,,Yes,3,65,Yes,Yes,No,Yes,Yes,,,Yes,Yes,No,,,,,,,,,7240.08,Yes,0,Yes,52,67.14,3294.27,,44,,,33.62,568080,5.02,,21.96,2.16,,243,52.98,14,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,0,,Yes,52,Yes,Yes,,,
Freetown,Derek Macedo,3200,2560,2560,Curbside,,,Curbside,Weekly,Yes,,,None,,52,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,1600,No,0,Yes,,60,725,,31.25,12.02,,2.25,63,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,,,No,,,,,,
Gardner,Jennifer Susen-Roy,10618,6509,6509,Both,Yes,48,Both,Bi-weekly,Yes,Yes,96,None,10,52,Both,Neither,Recycling,Neither,,Yes,,,,200,,,,,,,,,,,,,,,,,,,,,,,,Yes,4050.28,No,0,Yes,,73,1583.51,,28.84,,1.03,,52.51,2.63,,13.92,,,219.37,9.15,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,0,0,Yes,2,No,Yes,,,
GEORGETOWN,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gill,Jan Ameen,508,508,508,Curbside,,,Curbside,Weekly,,,,None,,,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,Yes,196.7,No,0,,,75,,,,67.25,75.65,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
Gloucester,Rose LoPiccolo,13825,12500,12500,Curbside,,,Curbside,Weekly,Yes,,,None,8,22,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,Yes,Yes,No,,Yes,,Yes,Yes,,,,6729,Yes,0,Yes,,69,3069,,,,,,120,,,,,,525,8,,Once a Month,Once a Month,0,0,Once a Month,Once a Month,1 or 2,1 or 2,1 or 2,Once a Month,1 or 2,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,0,0,0,0,0,,Yes,2,No,No,,,
Goshen,Kathleen A. Casey,555,252,252,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,Yes,,,Yes,30,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,,,Yes,133.15,No,7.02,Yes,,72,,,,35.81,21.15,,7.69,2.86,,,,,,1.59,,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,,No,,,,,,
GOSNOLD,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grafton,Rebecca Meekins,6200,4650,4650,Curbside,,,Curbside,Bi-weekly,Yes,Yes,96,None,,28,Both,Both,Neither,Neither,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,3347,Yes,0,Yes,,66.86,1899,,,,,,,,,,,,,,,0,0,0,Year Round,0,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,0,Year Round,Year Round,0,0,0,0,No,,,,,,
Granby,CHRISTOPHER MARTIN,2766,2766,2766,Curbside,,,Curbside,Weekly,Yes,,,None,,4,Both,Both,Recycling,Neither,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,1146.63,No,0,Yes,,72.5,424.25,,,,,,,,,,,,12.58,2.88,,0,0,1 or 2,1 or 2,Year Round,0,0,0,0,0,1 or 2,0,0,0,0,0,0,Year Round,0,0,0,0,0,No,,,,,,
Granville,Matthew Streeter,561,450,450,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Both,Both,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,Yes,,No,,Yes,Yes,,,,Yes,,163.44,Yes,0,Yes,,73,89.86,,,,,,28.67,0.23,,,,,,5.54,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,0,0,No,,,,"In lieu of residents having access to a comprehensive household hazardous waste collection event in an other community, the town does contract with NEDT Household Pazardous Products Collection Center in neighboring Westfield to provide year-round opportun",,
GREAT BARRINGTON,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenfield,Janine Greaves,5758,5758,5758,Both,,,Both,Bi-weekly,,,,Drop-off,3,52,Both,Recycling,Neither,Both,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,Yes,3447.08,Yes,0,Yes,,72.5,,,,909,525,17.69,225,5.7,,28.82,,,31.91,20.06,73.75,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,0,,,Yes,248,No,No,We accept HHW from the residents of Greenfield and Leyden year round.,,
Groton,Tom Delaney,3848,1455,3848,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Both,Recycling,Yes,,Yes,,Yes,,60,,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,803.36,No,236.52,Yes,,72,,,105.88,198.77,173.39,13.81,76.33,18.63,,,,,22.68,36.3,236.52,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,Year Round,0,,No,,,,"Bulky and C&D are collected in the same container and sorted by the hauler. A total 473.03 tons
were collected. Approximately half is bulky and half C&D collected.",,
GROVELAND,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HADLEY,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halifax,Susan Johnston,3194,2694,3194,Curbside,,,Both,Bi-weekly,Yes,,,None,,52,Both,Both,Both,Trash,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,Yes,Yes,Yes,Yes,Yes,,Yes,800.07,Yes,0,Yes,,109.09,350.41,,19.63,,,2.8,32.41,4.47,,4.76,,,,10.5,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,,,Yes,12,No,No,,,
Hamilton,Timothy Olson,2965,2965,2965,Curbside,Yes,35,Curbside,Weekly,Yes,,,Curbside,3,52,Both,Neither,Both,Neither,Yes,,,,Yes,,,,Yes,Yes,9999999999,35,,Yes,,,,,,,,,,,,,,,,Yes,1476.99,Yes,0,Yes,52,66.19,1098.41,,,,,,6.5,10.68,,,,250.47,,9.98,,Once a Month,Once a Month,Once a Month,Once a Month,1 or 2,Year Round,0,0,1 or 2,0,1 or 2,Once a Month,Year Round,Year Round,Year Round,Year Round,0,0,Once a Week,,0,0,,Yes,1,No,No,,,
Hampden,Jane Budynkiewicz,1800,856,856,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Neither,Neither,,Yes,,,Yes,40,,,Yes,,,,,,,,,,,,,,,,,,,,,,169,No,0,,,90,0,,,113.09,58.42,7,,,,,,,,,,0,0,0,0,1 or 2,1 or 2,0,0,1 or 2,0,1 or 2,0,0,1 or 2,1 or 2,1 or 2,0,0,0,,0,0,0,No,,,,,,
Hancock,Linda Cernik,305,250,250,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,Yes,,Yes,,,,10,,,,,,,,,,,,,,,,,,,,,,,,184.46,No,52.17,No,,,,,,27.79,14.88,,27.21,,,,,,,8.91,,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,0,0,No,,,,"HHW collections secured for member towns June 2, 2018. Hancock Transfer Station has a drop box on site for clothing. Donations go to IICD, Institute for Cooperation & Development.(unable to get tonnage collected) Residents in the district towns have acces",,
Hanover,Victor Diniak,5000,5000,5000,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Recycling,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,,4789.54,Yes,0,Yes,,80.5,,,301.82,183.31,211.14,,309.16,98.92,,25.72,,,,62.49,1059.27,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,,,Yes,2,Yes,Yes,"Program also recycled 11.2 tons of tires and 16.48 tons of books.  The survey does not include these categories of recyclables.

We are estimating the total housing units.  We have recently had a number of new apartment buildings come on line so the exact",,
Hanson,Matthew Tanis,3911,2202,3911,Drop-off,,,Drop-off,,Yes,,,None,,52,Neither,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,Yes,,No,,Yes,Yes,Yes,Yes,,,,799.4,Yes,0,Yes,,56.38,450.63,,73.01,,,,70.85,19.3,,6.57,,,1000,21.65,,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Once a Month,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,,Yes,1,No,Yes,,,
HARDWICK,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvard,Tim Kilhart,1931,1345,1455,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Recycling,Recycling,,,Yes,,,,250,,,,,,,,,,,,,,,,,,,,,Yes,,,1099.85,No,74.1,Yes,,72,,,,312.38,135.19,,87.96,23.61,,,,,,14.85,74.1,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,0,,No,,,,"Bulky waste and C&D are collected together and recycling sorted at the collection facility. A total 148.2 tons
were collected. Approximately half is bulky and half C&D collected.",,
Harwich,Lincoln Hooper,10255,5530,5530,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Both,Yes,Yes,Yes,,,160,10,,,,,,,,,,,,,,,,,,,,,Yes,,,4572,No,0,Yes,,,,135,365,104,401,,438,71,,63.09,,,984,52,9124,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,,,Yes,6,Yes,No,,,
Hatfield,Garrett Barry,2662,482,482,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Neither,Neither,Yes,,Yes,,,,50,,Yes,,,,,,,,,,,,,,,,,,,,,,180.46,No,0,Yes,,,,,,68.38,44.99,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Year Round,0,0,0,0,0,0,0,Year Round,0,0,No,,,,,,
Haverhill,Franco Cordano,25675,20823,20823,Curbside,Yes,64,Both,Bi-weekly,Yes,,,None,5,37,Both,Both,Both,Neither,Yes,,,,,,,,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,19,,,,,,,Yes,18323.33,Yes,0,Yes,365,56.81,5364.33,,,,,,82.5,9.19,,,,,2623.75,69.26,,0,Year Round,1 or 2,1 or 2,Once a Month,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,0,,Yes,2,Yes,No,"Condos and complexes collected by the city are determined by being 60% of more owner occupied and added to contract.  NOT ALL condos are picked up by Muni.  
Bulk Items - 1 Free per week as long as resident makes appointment - Any additional bulk items be",,
Hawley,Jan Ameen,169,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,No,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
Heath,Jan Ameen,369,317,317,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,15,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,Yes,166.41,No,0,,,70,,,,35.88,30.44,,20,2.68,,,,,,,,0,0,0,0,0,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,0,0,No,,,,,,
Hingham,Randy Sylvester,7249,7249,7249,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Recycling,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,,No,,Yes,Yes,Yes,Yes,Yes,,,6051,Yes,0,No,,61.5,,,409,636,2115,326,355,118,,12.47,,,3931,40,1204.3,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,,,Yes,1,Yes,Yes,,,
Hinsdale,Linda Cernik,740,520,520,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,65,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,341.02,No,42.45,Yes,,,,,,37.84,22.76,,17.98,5.72,,,,,,3.06,,0,1 or 2,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,0,0,No,,,,"HHW collection secured for district member towns June 2, 2018. As of July 1, 2017 the Town of Hinsdale set in place pay as you throw program, permit fee and 1.00 per bag tag, with 520 permits sold.  The new addition of the Swap Shop funded by MassDEP is v",,
Holbrook,Noreen Jordan,4134,4134,2283,Curbside,,,Curbside,Weekly,Yes,,,None,3,10,Both,Both,Neither,Neither,,Yes,,,Yes,150,,,Yes,,,,,,,,,,,,,,,,,,,,,,1184.42,Yes,0,Yes,,70,547.58,,,,,1732,,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,,1 or 2,,,Yes,1,No,No,,,
Holden,Pamela Harding,7649,5800,5800,Curbside,Yes,65,Curbside,Bi-weekly,Yes,Yes,95,None,,16,Both,Neither,Neither,Neither,,Yes,,,,14,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,Yes,Yes,,4465.12,No,0,Yes,,67.14,1917.43,,18.8,20.6,,8.64,52.74,1.54,,13.78,,,,,,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,,,Yes,6,Yes,No,,,
HOLLAND,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
