Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type,Yard Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Swap-Shop,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Did your municipality host comprehensive household hazardous waste collection events in 2011?,How many events?,Regional,Reciprocal,Comments/Additional Information,
HOLDEN,Dennis J. Lipka,6673,5445,6673,Curbside,Yes,65,Both,Yes,Yes,95,None,Drop-off,,16,Both,Both,Neither,Yes,Yes,1,65,,Yes,,,,,Yes,4225,No,2325,,,,112,5.6,35,,,,,,350,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Year Round,Once a Week,Once a Week,Once a Week,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,Yes,No,,
HOLLAND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLISTON,Paul D LeBeau,4896,4605,4605,Curbside,,,Both,,,,None,Both,1,51,Both,Both,Both,Yes,,,,,,,,,,Yes,4086,Yes,,1066,3,,702,,86.78,,,,,,2325,1 or 2,Once a Week,Once a Week,Once a Week,1 or 2,Once a Week,1 or 2,1 or 2,1 or 2,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Yes,1,Yes,Yes,,
HOLYOKE,timothy e. price sr.,16200,9950,9950,Both,,,Both,,,,None,Both,40,35,Recycling,Recycling,Recycling,,,,,,,Yes,Yes,,Yes,Yes,7670,Yes,,,,1203,448,,210.4,,542.26,84.37,,,2285.8,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,Yes,"21.95 tons - Gotbooks Recycling program
2700 gallons - Recycled Latex Paint program",
HOPEDALE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOPKINTON,John K. Westerling,4800,4800,4800,Curbside,,,Both,,,,None,Drop-off,,52,Both,Both,Neither,,Yes,2,32,,Yes,,,,,Yes,4402,No,,,,1185,608,,,,,,,,,Once a Week,0,Once a Week,0,0,Once a Week,1 or 2,1 or 2,0,1 or 2,Once a Week,0,0,0,0,Yes,1,No,No,,
HUBBARDSTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUDSON,sam,7528,2300,2300,Drop-off,,,Drop-off,,,,None,Drop-off,,28,Trash,Both,Neither,Yes,,,,,,,,,Yes,,60079,Yes,7538,,,,,,,,,,,,679,0,Year Round,Year Round,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
HULL,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTINGTON,Eric Weiss,750,750,750,Both,,,Both,,,,None,None,,,Both,Both,Both,Yes,,,,,,Yes,Yes,,,Yes,461,Yes,,,,97,41,,,,,,,,,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,,
IPSWICH,Judy Sedgewick,4962,4962,4962,Curbside,,,Both,Yes,,,Curbside,Drop-off,,52,Both,Both,Both,Yes,,,,,,,,,,Yes,3051,Yes,1837,,,,,,20,,,,,10,50,Year Round,1 or 2,Between 3 & 10,Between 3 & 10,0,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
KINGSTON,JEFF BOND,4823,4823,4823,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Recycling,Neither,Neither,,,,,,,Yes,Yes,,,,3442,No,0,0,145,180,168,,208.7,20,,,,,900,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,Yes,,
LAKEVILLE,Christopher Peck,4243,1912,1912,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Neither,Neither,Yes,,,,,,,,,Yes,Yes,1281,Yes,0,33,136,62,157,25.1,75.95,,,1,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,Lakeville residents have the option of using the town transfer station or contracting with a private disposal service.  Town residents who utilize the transfer station are required to purchase a $40 yearly sticker which gains access to the facility. Resid,
LANCASTER,Orlando Pacheco,2490,0,2490,None,,,Drop-off,,,,None,None,,52,Both,Both,Neither,,,,,,,,,,,Yes,0,No,0,0,19,49,15,,12.08,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Yes,20,Yes,No,"Lancaster is a members of the Devens Regional Household Hazardous Waste Center

We recent invested in materials to start antifreeze collection in 2012

Newspaper is included in mixed paper

we do collect used clothing in various location (recyling center,",
LANESBOROUGH,Sandy Totter,1203,0,1203,None,,,Drop-off,,,,None,None,,,Recycling,Neither,Recycling,,,,,,,,,,,Yes,0,No,,,,58,24,,,,,,,,,0,0,1 or 2,1 or 2,0,0,0,0,0,Between 3 & 10,Year Round,0,Year Round,Year Round,0,No,,,,,
LAWRENCE,Andrys Castillo,18000,17614,17614,Curbside,Yes,64,Curbside,,,,None,Both,9,13,Both,Both,Neither,,Yes,1,64,,Yes,,,,,,26733,No,,,,1060,562,,28.5,,,,,,1105,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
LEE,Jamie Cahillane,2442,0,0,None,,,None,,,,None,None,,,Neither,Neither,Neither,,,,,,,,,,,Yes,0,No,,,,100,61,,,,,,,,,0,0,1 or 2,1 or 2,Between 3 & 10,Year Round,1 or 2,1 or 2,0,Between 3 & 10,1 or 2,1 or 2,1 or 2,Year Round,0,Yes,2,Yes,No,,
LEICESTER,RUTH KAMINSKI,3512,0,3512,None,,,Drop-off,,,,None,Drop-off,,52,Recycling,Recycling,Recycling,,,,,,,,,,Yes,Yes,0,No,,,,331,128,9,106,15.6,,8.5,,,45,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,Yes,"WE ALSO RECYCLE BOOKS, TONER CARTRIDGES, EYE GLASSES, HEARING AIDS, CELL PHONES, AMERICAN FLAGS, DVD/DISKS/VHS/CASSETTE TAPES/PVC PIPE/FURNITURE/KITCHEN WARE/STUFFED ANIMALS/HP EQUIPMENT AND MUCH MORE",
LENOX,Greg Federspiel,2212,0,0,None,,,None,,,,None,Drop-off,,3,Neither,Neither,Neither,,,,,,,,,,,Yes,0,No,,,,54,33,,,,,,,,73,0,0,1 or 2,1 or 2,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,Between 3 & 10,Between 3 & 10,1 or 2,1 or 2,Year Round,0,Yes,2,Yes,No,Recycling data from one hauler only.  Thermometers collected at Tri-Town Health Dept. in Lee year round.,
LEOMINSTER,Christopher J. Knuth R.S.,15073,12061,12261,Both,Yes,64,Both,Yes,Yes,64,None,Both,16,52,Both,Both,Neither,,Yes,1,64,Yes,Yes,,,,,,8398,Yes,2768,,,,,,,,,,,,1017.55,0,1 or 2,1 or 2,1 or 2,Once a Week,Between 3 & 10,0,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Yes,4,No,No,"we took in white goods but we pay per unit, so I have no idea on the tonnage.",
LEVERETT,Jan Ameen,800,635,635,Drop-off,,,Drop-off,,,,None,None,,,Both,Neither,Neither,Yes,,,,,,,,,Yes,Yes,218,Yes,,,,98,49,,12.9,,,,,,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Yes,1,Yes,Yes,,
LEXINGTON,Robert Beaudoin,11460,11036,11460,Curbside,,,Both,,,,None,Both,13,38,Both,Both,Neither,,Yes,6,32,,Yes,,,,,Yes,8709,Yes,,,256,2907,1453,,245,801,2763,,,,4388,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,8,Yes,No,,
LEYDEN,Jan Ameen,304,0,0,None,,,None,,,,None,None,,,Neither,Neither,Neither,,,,,,,,,,,,0,No,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,1,Yes,Yes,,
LINCOLN,Chris Bibbo,3050,2100,2100,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Recycling,Neither,,,,,,,Yes,Yes,,Yes,Yes,1042,Yes,76,,,378,112,,120,10,10,,,,20,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,8,Yes,No,"The Town of Lincoln has a seperate recycling container for glass.  This tonnage for 2011 was 76 tons as shown in the ""single stream"" item above.

The Town also recycles electronics.",
LITTLETON,Jim Clyde,3064,1562,1562,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Recycling,Recycling,Recycling,Yes,,,,,,,,,Yes,,1256,Yes,,,,433,238,,110.3,27.36,,,,,219,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,10,Yes,No,,
LONGMEADOW,Michael Wrabel,6000,5500,5500,Curbside,,,Curbside,,,,None,Drop-off,,52,Both,Both,Neither,Yes,,,,,,,,,Yes,Yes,3811,No,,,,1401,585,,91,,249,,,,2049.34,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,Yes,305 tons of bulky waste was collected at the Town's Transfer Station in 2011.,
LOWELL,Gunther Wellenstein,38000,24636,24636,Curbside,Yes,68,Curbside,,,,None,Curbside,4525,,Both,Both,Neither,,,,,,,Yes,Yes,,,Yes,29236,No,,,,4554,3622,,,,,,,,4525,1 or 2,Once a Week,Once a Week,Once a Month,Once a Month,Year Round,Once a Month,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,No,Lowell's curbside MSW collection program is a 'hybrid' Unit Based Pricing program; meaning residents pay for one (1) 68-Gal automated trash cart AND have the option for $1.50 'overflow' (PAYT) trash bags... in CY11 13 participating stores sold 436 cases o,
LUDLOW,Jim Goodreau,6938,6802,6802,Both,,,Both,,,,None,Drop-off,,34,Both,Neither,Neither,,,,,,,,,,,,6983,Yes,,,,741,394,,45,,,,,,3021,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,,
LUNENBURG,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYNN,Manny Alcantara,35915,31930,31930,Curbside,,,Curbside,Yes,Yes,96,None,Both,10,41,Both,Both,Both,,Yes,6,32,Yes,Yes,Yes,Yes,Yes,,Yes,33454,No,2516,,,,,,,,,,,,12752,0,0,Year Round,Year Round,0,0,Year Round,0,0,Year Round,Between 3 & 10,0,Year Round,Year Round,Between 3 & 10,No,,,,The City conducted a 90 days recycling pilot demostraction project in 565 households from September to December. After the completion of the pilot project recieved feetback from participants with a 90 percent approval reting. Single house participating in,
LYNNFIELD,DENNIS R. ROY,4210,4210,4210,Curbside,,,Curbside,,Yes,19,None,Drop-off,,35,Both,Both,Neither,,,,,,,,,,,Yes,4685,Yes,,,,662,430,,276,12,,3.5,5,,545,1 or 2,0,Once a Month,Once a Month,1 or 2,Year Round,1 or 2,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
MALDEN,Ron Zanazzo,26000,17565,17565,Curbside,,,Both,,,,None,Both,32,52,Both,Both,Both,Yes,,,,,,,,,,,10423,Yes,,,,2565,1506,,31,,,,,,1276.87,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,4,No,No,,
MANCHESTER,Steven,2130,2130,2130,Both,,,Both,Yes,,,None,Drop-off,,35,Both,Neither,Both,Yes,Yes,4,32,Yes,Yes,Yes,Yes,Yes,,Yes,1511,Yes,111,,,408,234,,36,,,,,,89,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,Yes,The School system is regional and handles its trash seperate from the Towns they are in.,
MANSFIELD,Betty Peter,7475,6562,6562,Curbside,Yes,64,Both,Yes,Yes,64,None,Drop-off,,52,Both,Both,Neither,,,,,,,,,,,,5706,Yes,2508,131,,,17,,146.16,2,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,"Residents are given 64 gal recycling carts but may request a 96 gal cart which we will provide upon request.

Electronics Collected:   35.23 tons",
MARBLEHEAD,Andrew Petty,8428,8428,8428,Both,,,Both,,,,None,Both,8,52,Both,Both,Neither,,Yes,5,32,Yes,,,,,Yes,,7134,No,,,96,1473,862,,127.2,26,,,,,7499.33,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,No,,
MARION,ROBERT ZORA,2753,2753,2753,Both,,,Both,Yes,,,None,Drop-off,,52,Both,Both,Recycling,,,,,,,,,,,,1666,No,254,,,,,,,,,,,,,Year Round,0,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Yes,1,Yes,Yes,"Hazardous Products Collection sponsored by CMW District.
Scrap Metal/White Goods, C&D Materials, Swap Shop or Book Re-use by CMW District.

Recycling Tonnage - cardboard, steel/tin cans, glass, plastic, newspaper - included in single stream.",
MARLBOROUGH,Thomas P. Temple,12500,12500,12500,Both,,,Both,,,,None,Both,52,52,Both,Both,Neither,,,,,,,,,,,,16275,Yes,,,,1581,546,,320,20,,,,,642,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Yes,2,No,No,,
MARSHFIELD,Debbie Sullivan,9036,8921,8921,Both,,,Both,,,,None,Both,4,52,Both,Both,Both,Yes,,,,,,,,,Yes,Yes,7923,Yes,,,,1893,1005,,267,21,,,,,191,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,"There is no choice of different amount of time
paint, antifreeze, oil, oil filters, we collect 155 days per year.
Total tonnage for paper/cardboard combined.  no choice for combined",
MASHPEE,Catherine Laurent,5256,4236,5256,Drop-off,,,Drop-off,Yes,,,None,Drop-off,,52,Both,Both,Neither,,,,,,,,,,,Yes,3863,No,729,,149,,,31,204,,,14,,,615,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,4,Yes,Yes,Recycling at drop-off facility available for all Mashpee residents and property owners at no charge.  Textiles/used clothing collected year round but not weighed.  Used books also collected year round but not weighed.  Approximately 5 tons of boat shrink ,
MATTAPOISETT,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAYNARD,Kevin Sweet,4055,3791,3791,Curbside,,,Both,,,,None,Curbside,3,,Both,Both,Neither,Yes,,,,,,,,,,Yes,2209,Yes,,,,634,272,,36,,,,,,23.25,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,1 or 2,Year Round,Between 3 & 10,1 or 2,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
MEDFIELD,Kenneth Feeney,3494,2795,2795,Drop-off,,,Drop-off,Yes,,,Drop-off,Drop-off,,52,Neither,Neither,Neither,,,,,,,,,,Yes,,3207,Yes,928,,,,5,,,91,865,,,,902,Year Round,Year Round,Once a Month,Once a Month,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,Yes,,
MEDFORD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDWAY,Tom Holder,4000,3862,3862,Both,,,Both,,,,None,Drop-off,,52,Both,Both,Neither,Yes,,,,,,,,,Yes,,3347,Yes,,,86,826,536,,428,,118,,,,1075,Once a Week,Year Round,Once a Week,Once a Week,1 or 2,1 or 2,0,1 or 2,1 or 2,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
MELROSE,Jessica Schmitt,8200,7621,7621,Curbside,,,Both,,,,None,Both,14,50,Both,Both,Neither,,,,,,,,,,,,8338,Yes,0,,120,1014,569,,,,,,,,3545,1 or 2,Between 3 & 10,Between 3 & 10,Between 3 & 10,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,"Melrose does not track tonnage of things like mattresses,carpet,wood and metal but it is collected. Food waste is not collected.",
MENDON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERRIMAC,Carol McLeod,1930,1800,1800,Curbside,,,Curbside,Yes,,,None,Drop-off,,33,Both,Recycling,Neither,Yes,,,,,,,,,,,996,Yes,446,,,,,,,,,,,,,1 or 2,1 or 2,Once a Week,Once a Week,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Yes,1,Yes,No,We do a regional event with Newburyport - none in out Town,
METHUEN,Matt Zettek,17828,13680,15371,Both,,,Both,Yes,,,None,Both,20,52,Both,Both,Neither,,,,,,,,,,,,16351,Yes,2873,,,,,,146,,,,,,3159,1 or 2,Year Round,Year Round,Year Round,0,0,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,"Regarding Section 8, tonnage related to the 2,171 tons of C & D related waste that we collected at our Transfer Station was not included since the textiles/used clothing / wood / mattresses / carpet tonnage related components are not broken out.

Regardin",
MIDDLEBOROUGH,Andrew Bagas,7000,6000,6000,Curbside,,,Both,,,,None,Drop-off,,52,Both,Recycling,Neither,Yes,,,,,,,,,,Yes,5960,No,,,,376,314,,143,,,,,,,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,Yes,Residents can pay quarterly or purchase stickers for municipal curbside trash collection.  Any resident can have municipal curbside recycling collection for free (dual stream). They can also bring recyclables and compost to the transfer station at the lan,
MIDDLEFIELD,Eric Weiss,200,200,200,Both,,,Both,,,,None,None,,,Both,Both,Both,,,,,,,Yes,Yes,,,Yes,138,Yes,,,,24,10,,,,,,,,,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,,
MIDDLETON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILFORD,Paul A. Mazzuchelli,10000,8900,8900,Curbside,,,Both,,,,None,Drop-off,,52,Both,Both,Neither,,Yes,4,32,Yes,,Yes,Yes,,Yes,,8580,No,,,,1561,493,,656,12,71,,,,1885,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,Yes,,
MILLBURY,"Robert D. McNeil III, P.E.",5271,3559,3559,Drop-off,,,Drop-off,Yes,,,None,Drop-off,,52,Neither,Neither,Neither,,,,,,,Yes,Yes,,,,2927,Yes,221,0,130,100,0,,81,17,,,,,20,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
MILLIS,James F. McKay,3257,896,896,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Recycling,Recycling,Neither,Yes,,,,,,,,,,,495,Yes,0,0,100,58,0,,10405,2,,1,1,,820,Year Round,0,Year Round,Year Round,0,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
MILLVILLE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILTON,John Thompson,8704,8704,8704,Curbside,,,Both,Yes,,,None,Curbside,15,,Both,Both,Neither,Yes,,,,,,,,,,Yes,4944,No,3271,,,,,,44.53,,,,,,2079.38,Year Round,Year Round,Once a Month,Once a Month,Year Round,Once a Month,Once a Month,Year Round,1 or 2,1 or 2,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Yes,1,No,No,,
MONROE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONSON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTAGUE,Jan Ameen,3784,3784,3784,Curbside,,,Both,,,,None,Drop-off,,52,Both,Neither,Neither,Yes,,,,,,,,,,Yes,1334,Yes,,,,382,234,,48,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,Yes,1,Yes,Yes,,
MONTEREY,Maynard Forbes,650,650,650,Drop-off,,,Drop-off,,,,None,None,,,Both,Both,Trash,,,,,,,Yes,Yes,,Yes,Yes,339,Yes,,,,86,52,,145,1,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Yes,3,Yes,No,"We recycled 14 tons of metals, 10 tons of tires, 12 tons of electronics, 1 ton oil, one ton of textles for a total recycling of 322 tons.",
MONTGOMERY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUNT WASHINGTON,Jamie Cahillane,70,70,70,Drop-off,,,Drop-off,,,,None,None,,,Both,Neither,Neither,,,,,,,,,,,,54,Yes,,,,14,9,,,,,,,,,0,0,1 or 2,1 or 2,Between 3 & 10,1 or 2,1 or 2,1 or 2,0,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,0,Yes,2,Yes,No,,
NAHANT,Mary Ellen Schumann,1350,1350,1350,Curbside,,,Curbside,,,,None,Drop-off,,28,Both,Both,Both,,,,,,,,,,,,1131,Yes,335,,,,,,,,,,,,,0,0,Year Round,Year Round,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
NANTUCKET,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATICK,Thomas Hladick,11652,9383,9383,Curbside,,,Both,Yes,,,None,Both,6,104,Both,Both,Recycling,Yes,,,,,,,,,,,6327,Yes,3188,,143,212,35,,142.75,25,,,,,6950,1 or 2,Once a Week,Once a Week,Once a Week,1 or 2,1 or 2,1 or 2,0,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Yes,1,No,No,,
NEEDHAM,Ann Dorfman,10350,9500,9500,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Both,Both,Yes,,,,,,,,,Yes,,8614,Yes,73,2435,331,,1032,,173,180,,,,,8270,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,1 or 2,Yes,1,No,No,Needhams Transfer Station accepts materials from private residential haulers and contractors in addition to residents via the PAYT drop-off program. Therefor these T/R rates do not adequately reflect the T/R rate of the PAYT program.,
NEW ASHFORD,Sandy Totter,94,0,94,None,,,Drop-off,,,,None,None,,,Recycling,Neither,Recycling,,,,,,,,,,,Yes,0,Yes,,,,8,3,,,,,,,,,0,0,1 or 2,1 or 2,0,0,0,0,0,Between 3 & 10,Year Round,0,Year Round,Year Round,0,No,,,,,
NEW BEDFORD,Marissa Perez-Dormitzer,43029,33731,33731,Both,,,Both,,Yes,64,None,Both,37,52,Both,Both,Both,,,,,,,,,,,Yes,38742,Yes,0,5,245,3326,2008,10.66,139.51,2.03,,17.76,,,5517.04,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,0,Year Round,Year Round,Year Round,Yes,2,Yes,No,"#7.  Recycling Program Elements:  We have 96-gallon carts for recycling at schools, municipal buildings and some businesses.  We have 64-gallon carts for recycling at many 4-6 unit buildings. 

#8.  Composting Tonnage:  At the 2011 Connecting For Change B",
NEW BRAINTREE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW MARLBOROUGH,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW SALEM,Jan Ameen,450,300,300,Drop-off,,,Drop-off,,,,Drop-off,None,,,Both,Neither,Neither,Yes,,,,,,,,,Yes,Yes,176,Yes,,,,52,31,,6.34,,,,,3,,0,0,0,0,0,Year Round,0,0,0,0,Year Round,Year Round,0,0,0,Yes,1,Yes,Yes,,
