Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Applies to Residential Generators Eligible to be Served by Municipal Program,Applies to Residential Generators not Eligible to be Served by the Municipal Program,Applies to Commercial Generators,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Applies to Haulers Serving Residential Generators Eligible to be Served by Municipal Program,Applies to Haulers Serving Residential Generators Not Eligible to be Served by Municipal Program,Applies to Commercial Generators,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2020,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,"Propane tanks 
1 lb.",Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex paint,Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Film,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2019?,How many events?,Regional,Reciprocal,,,,,,,,,,,,,,,
Eastham,Silvio Genao,5668,3759,3759,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Both,Yes,Yes,,Yes,,120,,10,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,3570.38,No,543.23,Yes,,73.54,,44.75,176,181,429.29,5.74,175.17,30.58,,20.87,,,377.28,28.22,543,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,1,No,Yes,,,,,,,,,,,,,,,
Easthampton,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easton,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgartown,Donald Hatch,4677,1750,1750,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Both,Both,Both,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,Yes,,No,,,,,,,,Yes,2750,No,0,Yes,,95,525,,,,,,,21,,,,,200,15,,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,0,0,< 6,< 6,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,0,0,Yes,3,Yes,No,,,,,,,,,,,,,,,
Egremont,Juliette Haas,820,820,820,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Neither,Both,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,Yes,No,,Yes,Yes,,Yes,Yes,,Yes,360,No,34.14,Yes,,92,,,,100.02,88.84,1,21.04,0.5,0,0,0,10,2,0.5,34,0,0,Year Round,Year Round,0,0,0,0,0,0,0,0,Year Round,0,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,0,0,No,,,,,,,,,,,,,,,,,,
Erving,Jan Ameen,589,589,589,Curbside,,,Curbside,Weekly,,,,None,,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,Yes,367.85,No,7.55,Yes,,90,,,,68.24,54.29,,5.56,,,,,,,4.49,,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,< 6,Once a Month,Once a Month,0,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,0,< 6,< 6,< 6,0,< 6,No,,,,,,,,,,,,,,,,,,
Essex,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everett,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairhaven,Kathy A. Tripp,7000,6114,6114,Curbside,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,4,52,Both,Both,Neither,Neither,Yes,,Yes,,,,20,,,Yes,1,64,Yes,Yes,No,Yes,Yes,Yes,,Yes,Yes,No,,Yes,Yes,,,,,Yes,5030,Yes,,Yes,52,68.6,1459,8.39,5,,4.72,9.3,22.97,12.18,,1.93,,,540,12.65,8,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,No,,,,,,,,,,,,,,,
Fall River,John Perry,35891,31045,31045,Both,Yes,65,Curbside,Weekly,Yes,Yes,65,None,38,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,24078,Yes,,Yes,780,96,8120,,,,,8,56,,,107.25,,,,210,,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,0,0,Once a Month,Once a Month,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Year Round,0,0,Year Round,No,,,,,,,,,,,,,,,,,,
Falmouth,Peter M. McConarty,21000,21000,21000,Both,,,Curbside,Bi-weekly,Yes,,,Drop-off,,52,Both,Both,Neither,Neither,Yes,,Yes,,,,40,,,,,,,,,,,,,,,,,,,,,Yes,,,11510.33,No,0,Yes,,60,2899.26,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,6,Yes,No,,,,,,,,,,,,,,,
Fitchburg,Jean-Francois Leblanc,17012,13500,13500,Both,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,16,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,No,,Yes,Yes,,Yes,Yes,,,10613.98,No,1644,Yes,,45.51,2811.3,,,,,,188,,,,,,858.76,,,Year Round,Year Round,Year Round,Year Round,Between 6 & 11,Between 6 & 11,Between 6 & 11,Between 6 & 11,Between 6 & 11,Between 6 & 11,Year Round,Between 6 & 11,Between 6 & 11,Between 6 & 11,Between 6 & 11,Between 6 & 11,Between 6 & 11,0,Year Round,0,0,0,0,Between 6 & 11,Yes,2,Yes,Yes,,,,,,,,,,,,,,,
Florida,Linda Cernik,350,211,211,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Neither,Yes,,Yes,,,,10,,,,,,,,,No,Yes,,,,,,,,,,,,,Yes,275.49,No,19.34,Yes,,110,,,,19.1,15.18,,24.61,1912,,,,,,2.61,,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,Year Round,< 6,< 6,< 6,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,< 6,Year Round,Year Round,Year Round,,Year Round,No,,,,,,,,,,,,,,,,,,
Foxborough,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Framingham,Stephen Sarnosky,26174,18277,18277,Both,Yes,96,Both,Weekly,Yes,Yes,96,None,8,36,Both,Both,Recycling,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,17473,Yes,,Yes,,76.5,5227.74,0,177,95,32.97,43.36,250,87.46,,28.82,26,,120.58,40.31,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,2,No,No,,,,,,,,,,,,,,,
Franklin,Chris White,9961,9310,9310,Curbside,Yes,65,Both,Weekly,Yes,Yes,65,None,3,52,Recycling,Recycling,Recycling,Neither,,Yes,,,,242,,,,Yes,3,65,Yes,Yes,No,Yes,Yes,,,Yes,Yes,No,,Yes,,Yes,Yes,,,,7084,Yes,,Yes,52,68.97,3028,,85,,0,37.54,190.62,20,525,19.94,,,216,19.47,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,52,No,Yes,,,,,,,,,,,,,,,
Freetown,Derek Macedo,4223,2349,2349,Curbside,,,Curbside,Weekly,Yes,,,None,,52,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,,1700,No,0,Yes,,90,715,,32,11.5,,3.5,80,0.03,,4.13,,,3.24,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,,,,,,,,,,,,,,
Gardner,Lauren Saunders,11227,6567,6567,Both,Yes,48,Both,Bi-weekly,Yes,Yes,64,None,10,52,Both,Both,Recycling,Neither,,Yes,,,,200,,,,,,,,,,,,,,,,,,,,,,,,Yes,4408.38,No,0,Yes,,76,1432.29,,,,30.4,,55.05,44.07,,10.81,,,276.03,8.89,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,0,0,Yes,2,Yes,Yes,,,,,,,,,,,,,,,
Georgetown,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gill,Jan Ameen,511,511,511,Curbside,,,Curbside,Weekly,,,,None,,,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,No,Yes,Yes,,,,,,,,,,,,Yes,182,No,0,,,90,,,,63.25,53.74,,,,,,,,,,,< 6,< 6,< 6,< 6,Once a Month,Year Round,< 6,< 6,Once a Month,Once a Month,0,Once a Month,Once a Month,Year Round,Once a Month,Once a Month,Once a Month,0,0,< 6,< 6,< 6,0,< 6,No,,,,,,,,,,,,,,,,,,
Gloucester,Rose LoPiccolo,13825,12850,12850,Curbside,,,Curbside,Weekly,Yes,,,None,8,24,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,Yes,,Yes,,,Yes,,Yes,Yes,,,,6713.48,Yes,,Yes,,72,3152.32,,,,,,134,8.43,,,,,525,,,Once a Month,Once a Month,0,0,Once a Month,Once a Month,Once a Month,Once a Month,< 6,Once a Month,0,< 6,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,0,0,0,0,0,Once a Month,Yes,1,No,No,,,,,,,,,,,,,,,
Goshen,Kathleen A. Casey,558,203,203,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Both,Neither,,Yes,,,Yes,30,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,,,Yes,115.53,No,6.36,Yes,,88,,,,30.92,21.56,,5.05,1.43,,,,,,1.53,,Between 6 & 11,Year Round,Year Round,Year Round,Between 6 & 11,Year Round,Year Round,Year Round,Between 6 & 11,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Gosnold,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grafton,Rebecca Meekins,6200,4650,4650,Curbside,,,Curbside,Bi-weekly,Yes,Yes,96,None,,30,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,3645.86,Yes,,Yes,,71.89,1620.53,,,,,,,,,,,,,,,Year Round,< 6,< 6,< 6,< 6,Year Round,< 6,< 6,< 6,< 6,< 6,< 6,< 6,< 6,< 6,< 6,< 6,< 6,Year Round,Year Round,< 6,Year Round,,< 6,Yes,2,Yes,Yes,,,,,,,,,,,,,,,
Granby,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granville,Matthew Streeter,562,450,450,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Both,Both,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,Yes,,No,,Yes,Yes,,,Yes,,,175.48,Yes,,Yes,,74,73.64,,,,,0.88,63.76,0.35,,,,,,5.19,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,0,0,No,,,,,,,,,,,,,,,,,,
Great Barrington,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenfield,Janine Greaves,5604,5092,5092,Both,,,Both,Bi-weekly,,,,Drop-off,3,52,Both,Recycling,Neither,Both,Yes,,,,Yes,,,,Yes,,,,,,,No,Yes,,,,,,,,,,,,,Yes,3629,Yes,,Yes,,,,,,802,548,,244,41.41,,29.07,,,31.91,,112,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,No,,,,,,,,,,,,,,,,,,
Groton,Tom Delaney,3917,1346,3917,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Both,Recycling,Yes,,Yes,,Yes,,60,,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,715.21,No,201.16,Yes,,92.5,,,42,200.2,101.6,12.6,98.78,31.86,,5.61,,,2.43,18.32,201,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,Year Round,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Groveland,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadley,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halifax,Susan Johnston,3184,2754,3184,Curbside,,,Both,Bi-weekly,Yes,,,None,,0,Both,Both,Neither,Neither,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,Yes,Yes,Yes,Yes,Yes,,Yes,522.73,No,105.79,Yes,,86,290.72,,45,,,7.08,21.09,4.95,,3.19,,,,5.76,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,1,No,No,,,,,,,,,,,,,,,
Hamilton,Timothy Olson,2923,2923,2923,Curbside,Yes,35,Curbside,Weekly,Yes,,,Curbside,3,52,Both,Neither,Both,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,1581.31,Yes,,Yes,52,69.54,1025.29,,,,,,10.21,44.04,,,,272.55,,8.77,,Once a Month,Once a Month,Once a Month,Once a Month,< 6,Year Round,0,0,< 6,0,Once a Week,< 6,Once a Month,Year Round,Year Round,Year Round,Year Round,< 6,0,Once a Week,Once a Week,0,0,< 6,Yes,1,No,No,,,,,,,,,,,,,,,
Hampden,Jane Budynkiewicz,1800,600,600,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Neither,Neither,,,Yes,,Yes,,40,,Yes,,,,,,,No,Yes,,,,,,,,,,,,,,100.5,No,0,,,131.09,,,0,126.68,93.01,9.13,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Year Round,Year Round,0,0,No,,,,,,,,,,,,,,,,,,
Hancock,Linda Cernik,315,250,250,Drop-off,,,Drop-off,,,,,None,52,52,Both,Both,Both,Neither,Yes,,Yes,,,,10,,,,,,,,,No,Yes,,,,,,,,,,,,Yes,Yes,185.1,No,29.1,Yes,,110,,,,26.77,17.09,,25.02,0.57,26.65,,,,1.62,8.97,,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,Year Round,< 6,< 6,< 6,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,< 6,Year Round,< 6,Year Round,,Year Round,No,,,,,,,,,,,,,,,,,,
Hanover,Victor Diniak,5000,5000,5000,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,No,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,,Yes,,4815.21,No,213.43,Yes,,86,,,424,179.47,340.7,,362.95,66.95,,27.69,,,81,42.51,1201,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,2,Yes,Yes,,,,,,,,,,,,,,,
Hanson,Theresa Cocio,3800,2000,2000,Drop-off,,,Drop-off,,Yes,,,None,,52,Neither,Neither,Neither,Both,Yes,Yes,,,Yes,10,,,Yes,,,,,,,Yes,Yes,Yes,,Yes,,No,,Yes,Yes,Yes,,,,Yes,833,Yes,,Yes,,93.75,449,,73,,,,65.74,17.4,,3.44,,,1000,4.9,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,0,No,,,,,,,,,,,,,,,,,,
Hardwick,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvard,Tim Kilhart,1937,1339,1339,Drop-off,,,Drop-off,,,,,None,,0,Both,Recycling,Neither,Neither,,,Yes,,,,80,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,,,843.89,No,79.05,Yes,,80,,,,233.09,135.12,,89.33,13.08,,,,,,4.56,79,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Harwich,Lincoln Hooper,10255,5541,5541,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Both,,Yes,Yes,,,160,10,,,,,,,,,,,,,,,,,,,,,Yes,,,4490,No,0,Yes,,90,,63.79,379,69.44,380,,415,66.78,,74.33,,,2755,53.1,11524,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,6,Yes,No,,,,,,,,,,,,,,,
Hatfield,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill,Gunther Wellenstein,21300,20928,20928,Curbside,Yes,64,Both,Bi-weekly,Yes,,,None,4,39,Both,Both,Both,Neither,Yes,,,,,,,,,Yes,1,64,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,19,,,,,,,Yes,19849,Yes,,Yes,52,60,5252,0,3000,0,0,,57.74,52.81,,,,,540,40,,Once a Week,Once a Week,Once a Week,< 6,Once a Month,Year Round,Once a Week,Once a Week,< 6,0,< 6,< 6,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,0,Once a Week,Year Round,0,0,,Once a Week,Yes,2,No,No,,,,,,,,,,,,,,,
Hawley,Jan Ameen,166,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Yes,,,,,,,,,,,,,,,,,,,,< 6,< 6,< 6,< 6,Once a Week,Once a Week,< 6,< 6,Once a Week,Once a Week,0,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,0,0,< 6,< 6,< 6,0,< 6,No,,,,,,,,,,,,,,,,,,
Heath,Jan Ameen,381,350,350,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,15,,Yes,,,,,,,No,Yes,Yes,,,,,,,,,,Yes,,Yes,124.49,No,0,,,79,,,,32.54,31.71,,13.94,4.18,,,,,,,,< 6,< 6,< 6,< 6,Once a Week,Once a Week,Year Round,Year Round,Once a Week,Once a Week,0,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,< 6,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Hingham,Randy Sylvester,7473,7473,7473,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Recycling,Both,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,Yes,Yes,Yes,Yes,Yes,,,5443.9,No,1164,Yes,,64.62,,,493,559,595,19.79,372,107.69,,16.67,,,2193,45.11,1164,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,1,No,Yes,,,,,,,,,,,,,,,
Hinsdale,Linda Cernik,742,550,550,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Recycling,Neither,Yes,,Yes,,Yes,,65,,Yes,,,,,,,No,Yes,,,,,,,,,,,Yes,,Yes,271,No,119,Yes,,110,,,,37.44,30.34,,27.89,1.38,,,,,,9.05,,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,Year Round,< 6,< 6,< 6,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,< 6,Year Round,Year Round,Year Round,,Year Round,No,,,,,,,,,,,,,,,,,,
Holbrook,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holden,Pamela Harding,7605,6100,6100,Curbside,Yes,65,Curbside,Bi-weekly,Yes,Yes,95,None,,12,Both,Neither,Neither,Neither,,Yes,,,Yes,237,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,4640.25,No,0,Yes,,68.98,1861.7,,17,11.9,6,9.13,48.08,2.73,,13.17,,,,27.68,,Year Round,Year Round,Year Round,Year Round,Between 6 & 11,Year Round,Year Round,Year Round,Between 6 & 11,Between 6 & 11,Between 6 & 11,Between 6 & 11,Year Round,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Holland,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holliston,Andrea Minihan,5077,4600,4600,Curbside,Yes,35,Curbside,Weekly,Yes,Yes,65,None,1,50,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,3149,Yes,,Yes,52,68.97,1397,109,51,,74,11,57,12,,,,,,6,,Between 6 & 11,Year Round,Year Round,Year Round,Between 6 & 11,Year Round,Year Round,Year Round,Between 6 & 11,Between 6 & 11,0,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,< 6,Year Round,0,Between 6 & 11,Yes,9,No,Yes,,,,,,,,,,,,,,,
Holyoke,Jim Dupuis,16200,9950,9950,Both,,,Both,Bi-weekly,,,,None,20,33,Recycling,Recycling,Recycling,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,20,,,,,,,,7663.04,Yes,,No,,77.7,,,,1169,685,,149.26,,,36.55,,,1311.22,33.38,535,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,Year Round,< 6,< 6,0,0,0,0,0,0,Year Round,Yes,2,No,No,,,,,,,,,,,,,,,
Hopedale,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
