Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT revenue?,What is the annual fee?,What is the per-visit fee?,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,Private Hauler regulations that require recycling,Swap-Shop,Reuse area at transfer station / recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,Tip Fee as of 1/1/2015,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Did your municipality host comprehensive household hazardous waste collection events in 2014?,How many events?,Regional,Reciprocal,Comments/Additional Information,
Florida,Sandy Totter,265,265,265,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Neither,Yes,,,,,,,,,,,,,,,,,,,,Yes,301,No,67,Yes,,,,,21,13,,8,,,,,,,,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,No,,,,,
FOXBOROUGH,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Framingham,Stephen Sarnosky,28006,17733,17733,Both,,,Both,Bi-weekly,Yes,Yes,9664,None,11,38,Both,Both,Neither,Neither,Yes,,,,,,,Yes,3,35,Yes,,Yes,Yes,,Yes,Yes,Yes,,,Yes,15686,Yes,,Yes,,5098,,125,90,83,43,213,6,,199,27,7,2834,27,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Yes,2,No,No,yard waste does not include community drop-off locationBook Recycling not included,
Franklin,chris white,33000,9100,9100,Curbside,Yes,65,Curbside,Weekly,Yes,Yes,65,None,5,52,Both,Both,Recycling,Recycling,,Yes,,,204,,,Yes,1,65,Yes,Yes,No,Yes,Yes,Yes,No,Yes,,,,6777,Yes,,Yes,64,3394,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Yes,52,Yes,Yes,,
Freetown,Kevin Bernardo,2924,2339,2339,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,52,Both,Neither,Neither,Both,Yes,,,Yes,,,Yes,,,,,,,,,,,,Yes,,,1342,No,285,Yes,26,687,8,14,,3,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,No,,,,,
Gardner,Bernard Sullivan,8200,6600,7400,Both,Yes,48,Both,Bi-weekly,Yes,Yes,96,None,10,52,Both,Both,Both,Neither,,Yes,,Yes,200,,Yes,,,,,,,,,,,,,,Yes,4068,No,14,Yes,76,1546,,90,,36,,18,,,10,,,293,9,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Yes,2,No,Yes,"I gave the answer on latex paints that is closest to our program, but we are not truly year round. We close the paint shed from November to April. We have a Salvation Army box for textiles, but we do not collect any tonnage information, so I left that item blank. In addition to medical sharps, we do year round collection of expired and unwanted medications, and sharps and medications are collected anonymously, so it is a resource open to all, not just residents. We are part of the MPHN [Montachusett Public Health Network] a Public Health District Incentive Grant district, and all 11 members of our communities have medication and sharps collection.",
GEORGETOWN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gill,Jan Ameen,506,456,456,Curbside,,,Curbside,Weekly,,,,None,,8,Both,Both,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,Yes,202,No,0,No,,,,,78,58,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,Year Round,0,0,0,0,0,0,0,No,,,,,
Gloucester,Rose LoPiccolo,13800,12500,12500,Curbside,,,Curbside,Weekly,Yes,,,None,6,21,Both,Both,Neither,Neither,,,,Yes,,,,,,,,,,Yes,Yes,Yes,No,Yes,,,,6594,Yes,,Yes,73,2453,,,306,263,,72,,,,,,3170,6,Once a Month,Once a Month,Once a Month,0,Once a Month,0,1 or 2,1 or 2,Once a Month,1 or 2,Once a Month,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Yes,1,No,No,,
Goshen,Kathleen Casey,555,300,300,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,Yes,,,30,,Yes,,,,,,,Yes,,Yes,No,,,,Yes,156,No,14,Yes,66,,,,39,24,,3,3,,,,,,1,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Yes,1,Yes,Yes,,
Gosnold,Asa Lombard IV,185,185,185,Both,,,Both,Bi-weekly,Yes,Yes,50,None,,,Both,Both,Both,Both,Yes,,,Yes,,,,,,,,,,Yes,,Yes,No,,,,Yes,109,No,0,Yes,94,,,,,,,,,,,,,,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,,0,1 or 2,1 or 2,Between 3 & 10,Between 3 & 10,0,0,0,Between 3 & 10,Between 3 & 10,0,0,,Yes,1,No,No,,
Grafton,tim,7200,4952,4952,Curbside,,,Both,Bi-weekly,Yes,Yes,96,None,,25,Both,Both,Neither,Neither,,,,Yes,,,Yes,,,,,,,,,,,,,,Yes,3028,No,0,Yes,73,149,,,,,,,,,,,,,,1 or 2,0,1 or 2,0,Year Round,,0,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Yes,1,No,No,,
Granby,Mary McDowell,2287,2231,2231,Curbside,Yes,0,Curbside,Bi-weekly,Yes,,,None,,7,Both,Both,Recycling,Neither,Yes,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,No,Yes,,,,827,No,0,Yes,61,242,,,84,55,,11,,,,,,,4,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,,No,,,,,
Granville,Kathryn Martin,575,450,575,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Both,Both,Neither,,,,Yes,,,Yes,,,,,,,Yes,,Yes,No,Yes,,Yes,,192,Yes,,Yes,61,,,,58,30,,18,0,,,,,,5,Year Round,Year Round,Year Round,Year Round,0,,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,No,,,,"The cost is $2.50 per 30 gallon bag, with punch cards costing $75.00 each. The PAYT program collects enough money to cover our costs, but we appropriate in our budget the amount we believe we will collect in PAYT payments instead of setting up a revolving fund. To dump waste at our transfer station one must purchase a punch card to do so. Any town resident can use our transfer station to dispose of the recycling items as long as they can show proof of residency. We don't sell or provide residents with TS stickers. We are so small we know everyone in town.",
Great Barrington,Joe Sokul,2965,2965,2965,Drop-off,,,Drop-off,,,,,None,,6,Both,Recycling,Recycling,Recycling,Yes,Yes,,,30,,Yes,,,,,,,,,,,,Yes,,,134,No,13,Yes,74,,,,71,40,,14,,,,,,,,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,,0,0,0,Once a Week,Once a Week,Once a Week,0,0,0,0,0,Once a Week,,Yes,2,Yes,No,,
Greenfield,Janine Greaves,7003,6768,6768,Both,,,Both,Bi-weekly,,,,Drop-off,4,52,Both,Recycling,Neither,Both,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,Yes,3388,Yes,,Yes,,,,,950,541,,220,,,851,,,591,32,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Yes,248,No,No,Yes we accept items year round Monday through Friday.,
Groton,Tom Delaney,3794,1522,1522,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Both,Recycling,Yes,Yes,,Yes,47,,Yes,,,,,,,,,,,,,Yes,Yes,888,No,398,Yes,77,,,130,155,251,27,78,12,,,,,120,16,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,No,,,,,
GROVELAND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HADLEY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halifax,Susan Johnston,2981,2385,2981,Curbside,,,Both,Bi-weekly,,,,None,,52,Both,Both,Both,Neither,,,,Yes,,,Yes,,,,,,,Yes,,Yes,No,Yes,Yes,,Yes,899,Yes,,Yes,100,,,23,203,193,,23,1,,,,,,14,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,No,,,,,
Hamilton,William Redford,2950,2950,2950,Both,Yes,35,Both,Weekly,Yes,,,Curbside,3,7,Both,Neither,Both,Both,Yes,,,Yes,,,Yes,Yes,1,35,,Yes,,,,,,,,,Yes,1288,Yes,,No,74,1095,,,,,,,,,,,367,,,Once a Month,Once a Month,Once a Month,Once a Month,1 or 2,0,Once a Month,1 or 2,0,1 or 2,Once a Month,Once a Month,1 or 2,Year Round,Year Round,0,0,0,,Yes,1,Yes,Yes,,
Hampden,Jane Budynkiewicz,1800,850,850,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Neither,Neither,,Yes,,Yes,40,,Yes,,,,,,,,,,,,,,,271,No,0,Yes,90,,,37,58,58,,,,,,,,,,0,0,1 or 2,1 or 2,1 or 2,0,0,1 or 2,0,1 or 2,0,0,1 or 2,1 or 2,1 or 2,0,1 or 2,1 or 2,0,No,,,,"We received 2 rebate checks a year for paper and containers. Total rebate for the year was $3,222.79",
Hancock,Sandy Totter,296,296,296,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,167,No,48,No,,,,,28,16,,10,,,,,,,9,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,No,,,,,
Hanover,Victor J. Diniak,4950,4950,4600,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Recycling,Neither,Yes,,,,,,,,,,,,,Yes,,Yes,No,Yes,Yes,,,4536,No,203,Yes,53,0,0,320,323,330,0,234,105,839,29,0,0,1500,46,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Yes,2,No,Yes,,
Hanson,Donna Tramontana,3604,3129,3129,Drop-off,,,Drop-off,,Yes,,,None,,52,Neither,Neither,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,Yes,,,,1854,Yes,,Yes,55,189,,42,200,287,,72,14,,,,,1000,17,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Yes,1,Yes,Yes,,
Hardwick,Theresa A. Cofske,828,0,350,None,,,Drop-off,,,,,None,,,Recycling,Recycling,Recycling,Recycling,,Yes,,,25,,,,,,,,,,,,,Yes,Yes,,,0,No,6,Yes,,,,,56,40,,13,20,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,No,,,,"CRTR, Inc. is our e-waste hauling/processing vendor and does not provide a tonnage amount. They provide us with the total number of items received per haul. In 2014 we took in 292 e-waste items. They charge $800.00 per haul (3 - 4 times per year).E.L. Harvey & Sons, Inc. is our mixed paper, commingle, glass & scrap metal hauling/processing vendor. All items have a hauling fee of $180.00. The tonnage per haul varies. We receive a credit of $35.00/ton of mixed paper, $0 for commingle, $125.00 credit for scrap metal and are charged $35.00/ton of glass. We hold 2 bulk waste events per year. E.L. Harvey & Sons, Inc is our vendor for hauling/processing. They charge $630.00/40 yrd container up to 4.75 tons. If over 4.75 tons/per container an additional amount would be charged. We have not exceeded that amount per event.",
Harvard,Richard Nota,1825,1356,1356,Drop-off,,,Drop-off,,,,,None,,4,Both,Recycling,Recycling,Neither,,Yes,,,235,,,,,,,,,,,,,,,Yes,,1127,No,135,Yes,77,,281,,,149,,70,12,171,1,1,0,0,8,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,0,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,No,,,,We have combined many of our Waste Ban recyclable items under the wood catagory,
Harwich,Lincoln Hooper,10202,5431,5431,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Neither,Both,Both,,Yes,Yes,,140,8,,,,,,,,,,,,,Yes,,,4472,No,105,Yes,55,,159,282,89,411,,399,66,6121,51,,,2912,121,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,,Yes,6,Yes,No,,
HATFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill,Franco Cordano,26227,22643,22643,Curbside,,,Curbside,Bi-weekly,Yes,,,None,4,36,Both,Both,Both,Neither,Yes,,,,,,,Yes,3,35,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,21071,Yes,,No,59,4764,,,,,,26,,,,,,2665,27,0,Year Round,1 or 2,Year Round,Once a Month,,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Yes,2,No,No,"Passenger Tires - 10.5 tons. Yard Waste - Leaves and Grass clippings for the season totaled 7,072 yards (drop-off and curbside). Calculation - 533lbs per yard = 1,884.68 tons. Leaves and Grass cost the City $175 per load. Wood Chips from Brush totaled 780 tons. The City does not currently incur any expense or gain any revenue from the disposal of brush.",
Hawley,Jan Ameen,166,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,0,No,0,No,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,#4b does not actually apply.,
Heath,Jan Ameen,401,280,280,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,Yes,200,No,0,No,67,,,,35,27,,19,,,,,,,1,0,1 or 2,1 or 2,1 or 2,0,,1 or 2,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,No,,,,,
Hingham,Randy Sylvester,7346,7346,7346,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Recycling,Neither,Yes,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes,,6997,Yes,,No,,159,,405,820,490,,552,148,,,,,7735,94,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Yes,1,No,Yes,,
Hinsdale,Sandy Totter,740,465,465,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,Yes,Yes,,,45,,,,,,,,,,,,,,,Yes,Yes,432,No,48,Yes,,,,,49,20,,18,,,,,,,6,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,No,,,,,
HOLBROOK,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holden,Pamela Harding,7623,5098,5098,Curbside,Yes,65,Curbside,Bi-weekly,Yes,Yes,95,Curbside,,15,Both,Both,Neither,Neither,,,Yes,,,17,Yes,Yes,100,3565,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,4161,Yes,,Yes,64,1870,,,,,11518,48529,604,,,,,,15714,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Yes,4,Yes,No,"The Town of Holden pays a fixed monthly bill to casella which includes trash and recycling pick-up and the disposal of 150 tons of recycling, if they go over this amount on a per monthly basis, they get a ""recycling bonus"" for $64 per ton (our tipping fee)",
HOLLAND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holliston,Jeff Ritter,5519,4968,4968,Curbside,,,Both,Weekly,,,,None,1,52,Both,Both,Recycling,Neither,Yes,,,Yes,,,Yes,,,,,,,Yes,Yes,,,Yes,,,Yes,3988,Yes,,No,64,,,78,953,646,,97,,,,,,1609,72,Between 3 & 10,1 or 2,Once a Week,Once a Week,Between 3 & 10,,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Yes,1,Yes,Yes,,
Holyoke,Timothy E. Price Sr.,16200,9950,9950,Both,,,Both,Bi-weekly,,,,None,20,,Both,Recycling,Recycling,Recycling,Yes,,,,,,,,,,,,,Yes,,Yes,Yes,,,,,6284,No,36,Yes,74,0,0,0,1165,545,0,,0,,36,0,0,2946,49525,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Yes,1,No,Yes,,
HOPEDALE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopkinton,JOHN WESTERLING,5356,4571,4571,Curbside,,,Both,Weekly,,,,None,,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,4155,No,0,No,64,,,,151,1535,,,,,,,,,,0,0,Once a Week,Once a Week,1 or 2,0,1 or 2,1 or 2,0,Once a Week,Once a Week,0,0,0,0,0,0,0,0,Yes,1,No,No,,
HUBBARDSTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson,Sam Wong,8167,1785,1785,Drop-off,,,Drop-off,,,,,None,,12,Both,Both,Both,Neither,,,,Yes,,,Yes,,,,,,,,,,,Yes,,,,1227,Yes,,Yes,,,,84,214,195,,,,,,,,647,,1 or 2,Year Round,Year Round,Year Round,1 or 2,,Year Round,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,,Yes,2,Yes,No,,
HULL,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntington,Kathleen A. Casey,935,750,750,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Both,Both,Neither,,Yes,,,25,,Yes,,,,,,,Yes,,Yes,No,,,,,347,No,54,Yes,71,114,,,46,31,,26,2,,,,,,4,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,No,,,,The Town of Huntington converted to single stream recycling in the fall of 2014.,
Ipswich,Marlene Faria Connelly,6800,5033,5256,Curbside,,,Curbside,Weekly,Yes,,,Curbside,,52,Both,Both,Recycling,Neither,Yes,,,,,,Yes,,,,,,,Yes,Yes,,,,,,,2847,Yes,,No,64,1919,,,,,9,,,,,,,5480,,1 or 2,Year Round,Between 3 & 10,Between 3 & 10,1 or 2,0,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,0,Year Round,,Yes,1,No,No,"Our recycling committee holds three events annually to collect Styrofoam (free dropoff for residents) and electronics (net proceeds go to town nonprofit organizations). We also offer free recycling at our transfer station of the following items: waste cooking oil, fluorescent and CFL bulbs, and boat shrink wrap (from April to July). Ipswich also has a pilot curbside composting program with 460 participants who pay for the program (approximately 8% of the households in town).",
Kingston,Paul Basler,4831,2968,3018,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Neither,Neither,Neither,Yes,Yes,,,180,,,,,,,,,,,,,,,,,2980,No,0,Yes,70,,,210,192,203,,183,27,,19,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,No,,,,,
Lakeville,Jeremy Peck,3910,1684,1684,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Neither,Neither,Neither,Yes,Yes,,Yes,40,,Yes,,,,,,,,,,,,,,,713,No,287,Yes,104,,25,43,32,26,6,75,,,0,,,,28,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,No,,,,,
LANCASTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanesborough,Sandy Totter,1203,0,1203,None,,,Drop-off,,,,,None,,,Recycling,Neither,Recycling,Neither,Yes,,,,,,,,,,,,,,,,,,,,Yes,0,No,4,Yes,,,,,48,20,,4,,,,,,,3,0,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,No,,,,LANESBOROUGH HOLDS AN ANNUAL BULKY/ELECTRONICS COLLECTION.,
Lawrence,Moises Brea,18000,17717,18000,Curbside,Yes,64,Curbside,Weekly,Yes,,,None,24,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,23612,No,0,Yes,62,2550,,623,,,,29,,,,,,1200,2,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,0,0,0,No,,,,,
Lee,Jamie Cahillane,2192,0,0,None,,,None,,,,,None,,1,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,Yes,,,,49,No,0,No,,6,,,,,,,,,,,,,,1 or 2,0,1 or 2,1 or 2,Between 3 & 10,0,1 or 2,1 or 2,1 or 2,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,0,0,Yes,1,Yes,No,,
LEICESTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenox,Chris,2262,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,Yes,,,480,,,,,,,,,,,,,Yes,,,Yes,0,No,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 or 2,0,0,0,1 or 2,0,0,0,0,1 or 2,0,0,0,0,0,0,0,0,0,Yes,1,Yes,Yes,"All of Lenox's recycling and refuse collection, including all residential, all municipal/schools, is contracted through private haulers. In the future, you may wish to provide a box at the bottom of page one for ""wash hands"" municipalities. Thank you.",
Leominster,Chris Knuth,16000,12500,12100,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,32,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,Yes,7629,Yes,,No,67,2841,,,,,,,,,,,,901,,Between 3 & 10,1 or 2,1 or 2,1 or 2,Once a Month,,1 or 2,0,0,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,1 or 2,Year Round,1 or 2,0,Yes,4,No,No,,
Leverett,Jan Ameen,716,555,555,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Both,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,Yes,,Yes,151,No,41,Yes,74,,,,99,58,,15,1,,,,2,,3,Year Round,Year Round,Year Round,Year Round,0,,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,No,,,,,
LEXINGTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leyden,Jan Ameen,267,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,0,No,0,No,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,#4b does not actually apply. #10: Greenfield allows Leyden residents to use their permanent HHW site open 5 days/week with an appointment.,
Lincoln,Chris Bibbo,3050,2100,2100,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Recycling,Neither,Neither,Yes,,,,,,,,,,,,,Yes,,Yes,Yes,,Yes,Yes,Yes,1594,Yes,,No,83,,352,,378,159,,72,,20,,,12,52,24,Year Round,0,Year Round,Year Round,0,,Year Round,0,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Yes,8,Yes,No,,
