Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT revenue?,What is the annual fee?,What is the per-visit fee?,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Swap-Shop,Reuse area at transfer station / recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,Tip Fee as of 1/1/2016,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Did your municipality host comprehensive household hazardous waste collection events in 2015?,How many events?,Regional,Reciprocal,Comments/Additional Information,,
Florida,Sandy Totter,265,265,265,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Neither,Yes,,,,,,,,,,,,,,,,,,,,,Yes,286.87,No,64.35,Yes,,,,,23.35,15.13,,12.46,,,,,,,3.43,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,No,,,,,,
FOXBOROUGH,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Framingham,Stephen Sarnosky,28006,17733,17733,Both,Yes,96,Both,Bi-weekly,Yes,Yes,96,None,11,36,Both,Both,Neither,Neither,Yes,,,,,,,Yes,1,96,Yes,,Yes,,,,,,,,,Yes,14903,Yes,,Yes,,4959,0,133,77,38,57,217.78,7.5,0,16.31,29,0,75.76,54.8,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,,1 or 2,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,,Between 3 & 10,Yes,2,No,No,http://www.framinghamma.gov/173/Bulky-Item-Disposal,,
Franklin,Chris White,11500,9100,9100,Curbside,Yes,65,Both,Weekly,Yes,Yes,65,None,3,52,Both,Both,Recycling,Neither,,Yes,,,204,,,Yes,3,65,Yes,,No,Yes,Yes,Yes,No,,,,,,6913,Yes,,Yes,64,3348,,,,,50,145,2,,11,10,,270,55,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,52,Yes,Yes,,,
Freetown,Kevin Bernardo,2924,2339,2339,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,52,Both,Neither,Neither,Both,Yes,,,Yes,,,,,,,,,,,,,,,,Yes,,,1400,No,285,Yes,26.47,700,,18,,36,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,No,,,,,,
Gardner,Bernard Sullivan,8200,6400,6800,Both,Yes,48,Both,Bi-weekly,Yes,Yes,96,None,10,52,Both,Neither,Recycling,Neither,,Yes,,,200,,Yes,,,,,,,,,,,,,,,Yes,4547.49,No,0,Yes,72,1518.09,,325,,80,,335,2.63,,11.44,,,255.25,6.19,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,Yes,2,No,Yes,"Trash and recycling numbers include totals from Transfer Station, so trash tonnage may be higher than past years. Our bulky waste program is by the piece, we do not weigh the items. Our paint collection is not truly year round, the paint shed closes in November and reopens in April. In additon to Sharps collection, we have 2 medication waste collection boxes in the community. Our shrps and medication waste is part of a regional effort involving 12 member communities in a public health district.",,
GEORGETOWN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gill,Jan Ameen,507,507,507,Curbside,,,Curbside,Weekly,,,,None,,,Both,Both,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,Yes,196.98,No,0,No,,,,,75.11,54.01,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
Gloucester,Rose LoPiccolo,13800,12500,12500,Curbside,,,Curbside,Weekly,Yes,,,None,8,22,Both,Both,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,No,,Yes,,,,6539.9,Yes,,Yes,74.83,3013.51,,,,,,85,,,,,,525,6.25,Once a Month,Once a Month,Once a Month,0,Once a Month,Once a Month,1 or 2,1 or 2,,1 or 2,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,1 or 2,0,0,0,Yes,1,No,No,,,
Goshen,Kathleen A. Casey,555,300,300,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,Yes,,Yes,30,,Yes,,,,,,,Yes,Yes,,No,,,,,Yes,126,No,16.5,Yes,72,,,,39,23.9,,5.2,2.7,,,,,,1,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,No,,,,,,
GOSNOLD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grafton,tim mcinerney,6984,4668,4668,Curbside,,,Both,Bi-weekly,Yes,Yes,96,None,,32,Both,Both,Neither,Neither,,,,Yes,,,Yes,,,,,,,,,,,,,,,,2069,No,0,Yes,75.66,1650,,,,,,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,,1 or 2,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,1 or 2,,Year Round,Yes,1,No,No,,,
Granby,Mary McDowell,2287,2231,2231,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,7,Both,Both,Recycling,Neither,Yes,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,No,,Yes,,,,1038.43,No,0,Yes,61.5,404.47,,,,,0.08,0.72,,21.35,0.9,0.01,,16.2,2.33,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,,1 or 2,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,,1 or 2,No,,,,,,
Granville,Matthew Streeter,557,450,450,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Both,Both,Neither,Yes,,,Yes,,,Yes,,,,,,,Yes,Yes,,No,,Yes,,Yes,,211.72,Yes,,Yes,62,89.9,,,,,,35.6,0.25,,,,,,7.75,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,No,,,,"The cost is $2.50 per 30 gallon bag, with punch casts costing $75.00 each. Generally, to dump waste at our transfer station one must purchase a punch card to do so. Any town resident or business can use the transfer station to dispose of the recycling items as long as they show proof of residency. We do not sell or provide transfer station stickers. The PAYT program collects enough money to cover our costs, but we appropriate in our budget the amount we believe will collect in PAYT payments instead of setting up a revolving fund. This year we checked the ""property tax"" box because our appropriation included budget appropriation and free cash to purchase a new compactor as well funds tor new controls as well as new decking and bringing transfer station up to code compliance.Our transfer station attendant monitors and enforces the mandatory recycling requirement at the transfer station. Local private haulers are responsible for enforcing the mandatory recycling for their customers.While town residents did not have access to a comprehensive household hazardous waste collection ""event"" in another community in 2015, the town did contract with NEDT to allow residents of Granville to utilize the NEDT Household Hazardous Products Collection Center in neighboring Westfield. The Town set up the program to allow residents the opportunity to dispose of a comprehensive list of hazardous products not accepted at the Transfer Station. To incentivize the program the Town pays the first $30 of residents' costs for disposal. Program is advertised at the Transfer Station, on the Town website and in the local monthly newsletter.",,
GREAT BARRINGTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenfield,Janine Greaves,6787,5552,3304,Both,,,Both,Bi-weekly,,,,Drop-off,4,52,Both,Recycling,Neither,Both,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,Yes,3735.57,Yes,,Yes,,,,,1013.52,606.91,0.09,236.9,,,31.9,,10.64,31.91,17.45,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,0,Yes,248,No,No,We accept HHW year round for our residents.,,
Groton,Tom Delaney,3813,1386,1386,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Both,Recycling,Yes,Yes,,Yes,47,,Yes,,,,,,,,,,,,,,Yes,Yes,855.99,No,435.71,Yes,68,,,135.28,73.09,88.92,14.26,39.84,11.31,,,,,97.5,16,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,Year Round,No,,,,,,
GROVELAND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HADLEY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halifax,Susan Johnston,2981,2385,2981,Curbside,,,Curbside,Bi-weekly,,,,None,,12,Both,Both,Neither,Neither,,Yes,,Yes,50,,Yes,,,,,,,Yes,Yes,Yes,No,,Yes,Yes,,Yes,885.07,Yes,,Yes,102.97,,159.27,27.59,26.73,168.98,,17.88,1,,,,,,12.21,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,No,,,,,,
Hamilton,William Redford,2950,2950,2950,Both,Yes,35,Both,Weekly,Yes,,,Curbside,3,8,Both,Recycling,Both,Both,Yes,,,Yes,,,Yes,Yes,1,35,,Yes,,,,,,,,,,Yes,1240.58,Yes,,No,63,1105.1,,,,,,,,,,,349.44,,,Once a Month,Once a Month,Once a Month,Once a Month,1 or 2,Year Round,Once a Month,1 or 2,0,1 or 2,Once a Month,Year Round,Once a Month,Year Round,Year Round,0,0,0,,Year Round,Yes,2,Yes,Yes,,,
Hampden,Jane Budynkiewicz,1800,855,855,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Neither,Neither,,Yes,,Yes,40,,Yes,,,,,,,,,,,,,,,,234.96,No,0,No,124.85,57.88,,101.62,,,3.34,,,,,,,,,0,0,0,0,1 or 2,0,0,1 or 2,0,1 or 2,0,0,1 or 2,1 or 2,1 or 2,0,1 or 2,0,,0,Yes,1,No,Yes,,,
Hancock,Sandy Totter,296,296,296,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,180.22,No,41.2,No,,,,,27.45,16.97,,36.44,,,,,,,5.55,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,No,,,,,,
Hanover,Victor J Diniak,4950,4950,4950,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Recycling,Neither,Yes,,,,,,,,,,,,,Yes,Yes,,No,,,Yes,,,4598.87,No,110.37,Yes,53,,,352.87,293.06,326.19,,280.61,114.77,994.82,49.72,,,,57.68,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,Yes,2,Yes,Yes,,,
Hanson,Donna Tramontana,3679,2694,2694,Drop-off,,,Drop-off,,Yes,,,None,,52,Neither,Neither,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,Yes,,,,992,Yes,,Yes,55,524,,114,,,,48,12.63,,,,,1000,16.2,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Once a Month,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,Yes,2,No,Yes,,,
HARDWICK,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvard,Richard Nota,1915,1380,1456,Drop-off,,,Drop-off,,,,,None,,4,Both,Recycling,Recycling,Neither,,Yes,,,235,,,,,,,,,,,,,,,,Yes,,1140,No,168,Yes,68,,,,289,166,,85,12.2,,,,,,11,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,No,,,,We have combined many of our Waste Ban recyclable items under the wood catagory,,
Harwich,Lincoln Hooper,10225,5600,5600,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Recycling,Recycling,Recycling,,Yes,Yes,,160,10,,,,,,,,,,,,,,Yes,Yes,,4271,No,111,Yes,55,,180,306,101,377,,397,69,6766,57,,,2065,213,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,,Year Round,Yes,6,Yes,No,,,
HATFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill,Franco Cordano,26227,22651,22651,Curbside,,,Both,Bi-weekly,Yes,,,None,4,36,Both,Both,Both,Neither,Yes,,,,,,,Yes,3,35,Yes,Yes,Yes,Yes,Yes,,Yes,19,,,,,21057.13,Yes,,No,59.31,4464.61,,,,,,42.86,2.47,,,,,2100,17.02,0,Year Round,1 or 2,1 or 2,Once a Month,Year Round,Year Round,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,Yes,2,Yes,No,"*Trash and Recycling Collection - The City collects condominium complexes but do not exactly reflect criteria of ""Section 1"". City currently collects 2,041 total condo units that range from duplexes to large complexes. This figure is included in the number of households served. *Yard Waste - Leaves cost $175-200 per 100 cubic yards. Annual Leaf collection day material was delivered to vendor for $75 per 32 yard load (22 loads) - Total cost for leaves and grass disposal for 2015 = $10,900. Brush does not incur costs. Brush is chipped and hauled away in 100 yard loads (22 loads in 2015 - 2,200 yards of wood chips) Lower tonnage than actual amount brought in as vendor did not take all grass and leaves before CY end. (an additional 700-800 yards remained at years end).*Tires - Recycled 9.29 tons of scrap tires.",,
Hawley,Jan Ameen,170,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,0,Yes,,No,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
Heath,Jan Ameen,375,261,261,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Neither,Neither,Yes,Yes,,,75,,,,,,,,,,,,,,,,,Yes,203.89,No,3.51,Yes,68,,,,35.72,27.55,,18.36,1.25,,,,,,1.42,0,1 or 2,1 or 2,1 or 2,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,No,,,,,,
Hingham,Randy Sylvester,7402,7402,7402,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Recycling,Neither,Yes,,,,,,,,,,,,,Yes,Yes,,No,,Yes,Yes,Yes,,5846.7,No,745.64,No,60,17.5,,516.8,714.9,481,15.2,451.5,119.2,,,,,3238,71.6,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,Yes,1,Yes,Yes,,,
Hinsdale,Sandy Totter,740,465,465,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,Yes,Yes,,,45,,,,,,,,,,,,,,,,Yes,Yes,448.86,No,49.09,Yes,,,,,40.12,23.37,,28.4,,,,,,,3.17,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,No,,,,,,
Holbrook,Noreen Jordan,3630,2420,2420,Curbside,,,Curbside,Weekly,Yes,,,None,3,6,Both,Both,Neither,Neither,,Yes,,Yes,150,,Yes,,,,,,,,,,,,,,,,1784.83,Yes,,No,70,,,,,,,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,,1 or 2,Yes,1,No,No,,,
Holden,Pamela Harding,7705,5161,5161,Curbside,Yes,65,Curbside,Bi-weekly,Yes,Yes,95,Curbside,,15,Both,Both,Neither,Neither,,,Yes,,,18,Yes,,,,,,,,,,,,Yes,Yes,,,4439.09,Yes,,Yes,64,2005.69,,,,,7.43,34.08,0.23,,,,,,2.81,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,4,Yes,No,"The TOwn of Holden pays a fixed monthly bill to casella which includes trash and recycling pick-up and the disposal of 150 tons of recycling, if they go over this tonnage on a per monthly basis, they get a ""recycling bonus"" for $64 per ton (our tipping fee)",,
HOLLAND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holliston,Andrea Minihan,5098,4800,4800,Curbside,,,Both,Weekly,,,,None,2,52,Both,Both,Recycling,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,Yes,3457.6,No,0,No,64,,,,892.38,748.97,,,,,,,,,,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Year Round,Yes,1,No,Yes,,,
Holyoke,Timothy E. Price Sr.,16200,9950,9950,Both,,,Both,Bi-weekly,,,,None,35,35,Recycling,Recycling,Recycling,Recycling,Yes,,,,,,,,,,,,,Yes,Yes,,Yes,20,,,,,7336.84,No,32.77,Yes,75,0,0,0,1169,675.64,0,111.74,,,0,,,1404.68,33.46,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Year Round,Yes,2,No,No,,,
Hopedale,Mary Arcudi,2188,2188,2188,Curbside,,,Both,Bi-weekly,,,,None,52,52,Both,Both,Neither,Neither,Yes,,,,,,,Yes,3,30,,Yes,,,,,,,,,,Yes,1750.42,Yes,,Yes,68,768,,,,,,,,,,,,,,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,0,0,Yes,1,No,Yes,,,
Hopkinton,JOHN WESTERLING,5356,4571,4571,Curbside,,,Both,Weekly,,,,None,,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,4155.22,No,0,No,64,,,,215.97,1487.44,,,,,,,,,,0,0,Once a Week,Once a Week,1 or 2,0,1 or 2,1 or 2,0,Once a Week,Once a Week,0,0,0,0,0,0,0,0,0,Yes,1,No,No,,,
Hubbardston,Lucinds Oates,0,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,Yes,Yes,,,0,No,0,Yes,,0,0,0,0,0,,,,,,,,,,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,0,0,0,0,Once a Month,0,0,0,0,0,0,Once a Month,0,No,,,,,,
Hudson,Sam Wong,7995,1932,1932,Drop-off,,,Drop-off,,,,,None,,33,Both,Both,Neither,Neither,,Yes,,Yes,10,,Yes,,,,,,,,,,,,Yes,Yes,,,1341.6,Yes,,Yes,,,225.4,86.94,,149.19,,,,,,,,151.2,,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,0,Year Round,Year Round,,Year Round,Yes,2,Yes,No,,,
HULL,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntington,Kathleen A. Casey,935,544,544,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Both,Both,Neither,,Yes,,Yes,35,,Yes,,,,,,,Yes,Yes,,No,,,,,Yes,396,No,44.4,Yes,71,97,,,,,,36.5,2.4,,,,,,3.8,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,No,,,,,,
Ipswich,Marlene Faria Connelly,6800,5038,5140,Curbside,,,Curbside,Weekly,Yes,,,Curbside,,52,Both,Both,Recycling,Neither,Yes,,,,,,Yes,,,,,,,Yes,Yes,Yes,No,,,,,,2869,Yes,,No,65.14,1947,,,,,20,4,1.44,,,,167,5490,,Year Round,Year Round,Between 3 & 10,Between 3 & 10,1 or 2,0,Year Round,1 or 2,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,0,Year Round,,Year Round,Yes,1,No,No,"Residents are allowed to put out ONE 35-gallon barrel for free each week. Additional trash must be in overthrow bags or is left behind.Ipswich pays $350 per month, not per ton, to dispose of our yard waste from our dropoff facility.Ipswich has a private-pay curbside composting pilot program. Residents pay $1 per week and the DPW pays 10 cents per household per week. The approximate total cost for 2015 (given the fluctuating rate of participation) to the DPW was $8,100.Our trash household numbers and recycling household numbers are different because Ipswich collects recycling from businesses and residences not served by trash pickup. Our downtown is very dense and businesses are allowed to put out their weekly recycling for collection by our hauler. We also offer recycling dropoff at our transfer station to condos and apartments not served curbside. We also offer curbside pickup to multi-family residences (more than four units) that were ""grandfathered in"" before the new trash policy was adopted.",,
Kingston,Paul Basler,4500,3100,3100,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Neither,Neither,Neither,Yes,Yes,,,160,,,,,,,,,Yes,Yes,,No,,,,,Yes,2888,No,557,Yes,70.7,,,225,194,261,27,203,32.8,,14.74,,,500,40.3,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,Yes,1,No,Yes,,,
Lakeville,Jeremy Peck,3930,1690,1800,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Neither,Neither,Yes,Yes,,Yes,50,,Yes,,,,,,,,,,,,,,,,621.71,No,259.35,Yes,110.52,53.75,44.17,131.74,12.05,74.91,24.71,60.34,,,,,,,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,,Between 3 & 10,No,,,,"Note: Textiles/Used Clothing are collected in numerous containers at the transfer station and donated (i.e. Red Cross, etc.). The clean wood program just recently was implemented a couple of months ago. Lakeville had been holding off on implementation until a local receiver of the material began to take it (ABC). There have not been any clean wood deliveries yet for data. The mattress program was just implemented in December 2015 after receiving grant funds for a mattress container. As of 1/14/2016, a delivery of the mattresses has not been made for data purposes.",,
LANCASTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanesborough,Sandy Totter,1203,0,1203,None,,,Drop-off,,,,,None,,,Recycling,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,Yes,0,No,2,Yes,,,,,52.52,21.7,,5.58,,,,,,,3.5,0,0,1 or 2,1 or 2,0,Year Round,1 or 2,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,No,,,,,,
Lawrence,Moises Brea,28850,18995,18995,Curbside,Yes,64,Curbside,Weekly,Yes,,,None,26,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,24135,No,0,Yes,60.86,2648,,1128.3,,,,,,,,,,,,Once a Month,Once a Month,Year Round,Year Round,Once a Month,Year Round,Once a Month,Once a Month,,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Year Round,Year Round,0,0,Year Round,No,,,,,,
Lee,James Cahillane,2192,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,Yes,,,Yes,0,Yes,,Yes,,,,,,,,,,,,,,,,0,0,1 or 2,1 or 2,Between 3 & 10,1 or 2,0,1 or 2,,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,0,0,0,No,,,,Lee does not have a municipal program for trash and recycling.,,
LEICESTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
