Municipality Name,Contact Name,Total Number of Households ,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Recycling Service Type,Yard Waste Service Type,Food Waste Service Type,Curbside yard waste       # weeks collected ,Drop-off yard waste # days drop off center open ,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Trash Disposal Tonnage ,Single Stream Recyclables,Mixed Paper (dual stream),Commingled Containers (dual stream),Newspaper,Cardboard,Steel/tin Cans,Aluminum,Glass,Plastic,Scrap Metal/ White Goods,Textiles/ Used Clothing,C&D Materials,Swap Shop or Book Reuse,Other Materials,Auto Batteries,Household Batteries (including button batteries),Tires,Used Oil,Used Oil Filters,Antifreeze,Computers/ Electronics,Propane Tanks,Latex/Oil based Paint,Fluorescent Lamps/ CFLs,Thermostats,Thermometers,Flow Meters,Mercury Switches,Elemental Mercury,# comprehensive hazardous product collection events ,Regional Program,Reciprocal Program,Comments/Additional Information,,
Lunenburg,Laura Williams,3892,3892,3892,Curbside,Curbside,Drop off,None,0,12,Both,Both,Neither,1280,723,0,0,0,0,0,0,0,0,0,0,0,0,0,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,2,Y,N,"The Lunenburg did not have a local HHW collection as the town has been working in collaboration with the Devens Regional Household Hazardous Products Collection Program which will be accomplised in 2011. As such, we participated in the ""open"" regional HHW collection events.",,
Lynn,Manny Alcantara,27385,27385,27385,Curbside,Curbside,Both,None,9,40,Both,Both,Both,33139,0,0,2420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,0,3 to 10,3 to 10,Year Round,0,Year Round,,,N,N,,,
LYNNFIELD,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malden,Ron Zanazzo,22496,18283,18283,Curbside,Both,Both,None,23,312,Both,Both,Both,10058.94,0,0,1368.8,2461.41,0,0,0,0,0,0,0,0,0,0,Year Round,Year Round,Year Round,3 to 10,0,0,Year Round,3 to 10,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,4,Y,N,,,
MANCHESTER,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansfield,Betty (Amicone) Peter,7500,6600,6600,Curbside,Both,Drop off,None,0,108,Neither,Neither,Neither,5226.02,2548.06,77.55,20.25,0,0,159.11,0,0,0,0,0,0,0,11.7,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,N,N,,,
Marblehead,Wayne O. Attridge,8541,7260,7260,Both,Both,Both,None,8,301,Both,Both,Both,5778,0,1538.5,833.12,0,120.5,0,0,0,0,90,0,0,10,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,1 to 2,1 to 2,1 to 2,Year Round,Year Round,Year Round,0,Year Round,Year Round,2,Y,Y,Restructured data collection to give better tracking of numbers and diversion savings.  HHW Day is conducted jointly with the Swampscott.  Yardwaste is collected curbside 4 weeks in the fall and 2 weeks in the spring as well as drop-off.,,
Marion,Robert C. Zora,2753,2753,2753,Both,Both,Drop off,Both,0,308,Both,Both,Recycling,1744,202,0,26,31,0,0,0,0,0,0,0,0,0,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,,1 to 2,1,Y,N,"Hazardous Products Collection sponsored by CMW District  Recycling Tonnage - Cardboard, Steel/tin Cans, Glass, Plastic - included in the single stream amount  Scrap Metal/White Goods, C&D Materials, Swap Shop or Book Reuse - CMW District",,
Marlborough,Tom Temple,12500,12500,12500,Both,Both,Both,None,52,249,Both,Both,Neither,14020,0,1599,579,0,0,0,0,0,0,370,15,0,0,0,Year Round,1 to 2,Year Round,Year Round,Year Round,1 to 2,Year Round,Year Round,1 to 2,Year Round,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,2,N,N,,,
Marshfield,Debbie Sullivan,9500,9260,9260,Both,Both,Both,None,4,303,both,both,both,7657,,1804,1052,,,,,,,296,18,,,,year round,0,year round,monthly,monthly,1 or 2,year round,year round,1 or 2,year round,1 or 2,1 or 2,,1 or 2,1 or 2,1,no,no,We do not separate plastics from glass or cardboard from our paper.  Paper and Cardboard and Commingles which GMP,,
Mashpee,Catherine Laurent,9433,4252,4252,Drop off,Drop off,Drop off,None,52,258,Neither,Neither,Neither,3896,642,0,0,0,132,0,0,0,0,230,0,0,2,84,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,4,Y,Y,,,
Mattapoisett,Dale Barrows,4420,4420,4420,Both,Both,Drop off,Drop off,0,260,Both,Both,Both,2780,0,0,229,273,220,0,0,0,0,300,2,0,5,0,Year Round,Year Round,1 to 2,1 to 2,1 to 2,1 to 2,Year Round,Year Round,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,Y,N,,,
Maynard,Kevin Sweet,3736,3472,3472,Curbside,Curbside,Curbside,None,3,0,Both,Both,Neither,2293.01,0,597.01,255.85,0,0,0,0,0,0,38.31,0,0,0,0,3 to 10,Year Round,3 to 10,1 to 2,1 to 2,1 to 2,3 to 10,3 to 10,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 to 2,1,N,N,,,
Medfield,Ken Feeney,3919,3135,3135,Drop off,Drop off,Drop off,Drop off,0,164,Neither,Neither,Neither,3208,928,0,0,0,0,0,0,0,0,0,0,0,17,0,Year Round,Year Round,0,1 to 2,0,1 to 2,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,2,N,Y,,,
Medford,Donna Walsh,15225,15225,15225,Curbside,Both,Curbside,None,13,0,Both,Both,Both,21595,1088,0,611,1261,107,0,0,0,0,5,0,0,0,0,,Year Round,,,,,Year Round,,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,6,Y,,*3- under white goods/scrap metal- there were 545 units collected- I estimated 5 ton,,
Medway,Thomas Holder,4500,4000,4000,Both,Both,Drop off,None,0,156,Both,Both,Neither,3175,0,1002,473,0,0,0,0,0,0,494,0,128,0,0,52,0,1 to 2,1 to 2,1 to 2,1 to 2,52,0,52,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,N,N,"Under #3 Recycling, muni reports 14 tires recycled and 116 bulk.",,
Melrose,Mary Beth Calnan,11500,8825,8825,Curbside,Both,Both,None,14,365,Trash,Trash,Trash,8561,0,1202,645,0,100,0,0,0,0,81,13,0,6,0,Year Round,Year Round,Year Round,1 to 2,1 to 2,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,1,N,N,Melrose has 5 designated electronic drop-off Saturdays also.,,
MENDON,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrimac,Carol Mcleod,2037,1810,1810,Curbside,Curbside,Drop off,None,0,30,Neither,Neither,Both,530,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 to 10,0,0,0,0,0,0,0,,0,Y,N,We collect metals during yard waste collection days - every Saturday May - Novemeber.    Household Hazardous Waste is yearly with Newburyport.,,
Methuen,Matt Zettek,11264,10006,10006,Curbside,Curbside,Drop off,None,0,28,Both,Both,Neither,11633,0,1134,729,0,0,0,0,0,0,0,0,0,0,0,1 to 2,1 to 2,1 to 2,0,0,1 to 2,12,1 to 2,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 to 2,1,Y,Y,,,
Middleborough,Andrew Bagas,4000,3000,3500,Curbside,Curbside,Drop off,None,0,250,Neither,Neither,Neither,6075,0,418,289,0,0,149,0,0,0,0,0,713,0,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,,1,,Y,Recycling material is collected bi-52 at curbside with no charge to residents.  Residents can also bring recycles to transfer station operated by Waste Management at the Middleboro landfill.  Residents can pay for Town curbside trash collection or contract with private haulers.  Housing with greater than three units and businesses must have private haulers.,,
Middlefield,Eric Weiss - Hrmc,215,175,175,Drop off,Drop off,None,None,0,0,Neither,Neither,Both,146.44,0,15,20.74,0,0,0,0,0,0,11.2,3.1,0,0,0.17,0,1 to 2,Year Round,1 to 2,1 to 2,1 to 2,Year Round,Year Round,Year Round,Year Round,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1,Y,,Middlefield is part of the Hilltown Resource Management Cooperative,,
Middleton,Robert Labossiere,2984,1384,1708,Drop off,Drop off,Drop off,None,0,152,Neither,Neither,Neither,2253,0,265.93,0,0,0,8.18,0,67.84,41.25,120.54,37,9.22,32,464.72,Year Round,Year Round,Year Round,,0,Year Round,Year Round,Year Round,1 to 2,Year Round,Year Round,Year Round,1 to 2,1 to 2,1 to 2,1,Y,N,,,
Milford,Paul A. Mazzuchelli,10000,8900,8900,Curbside,Curbside,Drop off,Curbside,0,125,Both,Both,Neither,8796,0,1018,473,0,0,0,0,0,0,649,15,68,0,0,Year Round,Year Round,Year Round,Year Round,1 to 2,1 to 2,Year Round,Year Round,12,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,N,Y,,,
MILLBURY,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millis,James F. Mckay,896,896,896,Drop off,Drop off,Drop off,None,0,72,Neither,Neither,Neither,531,0,168,83,0,0,0,0,0,0,55,0,0,0,0,0,52,0,0,0,0,52,0,0,52,52,52,52,52,0,1,Y,N,,,
MILLVILLE,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milton,John Thompson,8751,8751,8751,Curbside,Curbside,Curbside,None,15,0,Both,Both,Both,4933,0,2164,1010,0,0,0,0,0,0,0,0,0,0,0,Year Round,12,Year Round,Year Round,1 to 2,Year Round,12,12,1 to 2,12,12,12,12,12,12,1,N,N,"Milton only collects curbside trash and recycling from certain small businesses, not all businesses as a whole",,
MONROE,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONSON,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montague,Jan Ameen,3784,3784,3784,Curbside,Curbside,Drop off,None,0,104,Neither,Neither,Neither,1291,0,408,228,0,0,0,0,0,0,75,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,0,Year Round,0,0,0,0,0,1,Y,Y,,,
Monterey,Jamie Cahillane,650,650,650,Drop off,Drop off,None,None,0,0,Both,Both,Both,222,0,94,50.7,0,0,0,0,0,0,29,3,120,0,16,0,0,Year Round,Year Round,0,0,Year Round,0,0,Year Round,0,0,0,0,0,2,Y,N,,,
Montgomery,Jane Thielen,319,0,319,None,Curbside,None,None,0,0,Recycling,Recycling,Recycling,0,0,27.98,15.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Town hires outside contractor for curbside recycling pick-up.  Rely on Springfield MRF to provide data for Montgomery.  Only have January - June, 2010 tonnage information which is not broken down into the various categories except paper and containers.  6 Mos. total tonnage was 43.43.",,
MOUNT WASHINGTON,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nahant,Timothy Lowe,1322,1322,1322,Curbside,Curbside,Both,Curbside,8,74,Trash,Trash,Trash,605,861.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Year Round,0,Year Round,0,0,Year Round,Year Round,52,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,N,N,Nahant residents attend open events sponsored by other communities,,
NANTUCKET,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natick,Thomas Hladick,11521,3820,3820,Curbside,Both,Both,None,6,104,Trash,Trash,Neither,6099,3216,224,0,0,133,0,0,33,31,146,0,0,0,0,Year Round,Year Round,0,Year Round,0,0,Year Round,0,0,Year Round,Year Round,Year Round,0,Year Round,0,1,N,N,,,
NEEDHAM,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Ashford,John D. Haig,94,0,94,None,Drop off,None,None,0,0,Neither,Neither,Neither,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 to 2,0,3 to 10,Year Round,0,Year Round,0,0,0,1,Y,N,New Ashford is a member of the Northern Berkshire Solid Waste Management District,,
New Bedford,Marissa Perez-Dormitzer,38689,33197,33197,Both,Both,Both,None,37,310,Both,Both,Both,37333,0,2062,1287,14,284,1,0,6,6,298,2,0,17,625,Year Round,Year Round,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,2,Y,N,New Bedford has a surplus paint shed that accepts both usable latex and oil-based paint April through October.,,
NEW BRAINTREE,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW MARLBOROUGH,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Salem,Jan Ameen,450,310,310,Drop off,Drop off,None,Drop off,0,72,Neither,Neither,Neither,163,0,55,33,0,0,0,0,0,0,10,0,0,0,0,0,Year Round,0,0,0,0,0,0,0,Year Round,0,0,0,0,0,1,Y,Y,,,
Newbury,Deborah Rogers,2516,1468,1468,Drop off,Drop off,None,None,0,0,Recycling,Recycling,Neither,1454,423,0,0,0,0,0,0,0,0,57,0,35,0,0,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,0,N,N,,,
Newburyport,Molly Ettenborough,7848,7848,7848,Curbside,Both,Both,None,5,180,Both,Both,Both,5917.51,1779,,,0,0,0,0,0,0,42,0,0,0,0,12,12,12,12,12,12,12,12,12,52,52,52,52,52,52,1,Y,,"We hold a 12 drop off for all materials as listed above.  Once a year Newburyport hosts an event with 2 other towns, that is totally comprehensive but also has Clean Harbors on site.",,
Newton,Courtney Forrester,32816,26500,26500,Curbside,Both,Curbside,None,39,0,Both,Both,Neither,21032,11145,0,0,0,129,0,0,0,0,521,243,0,0,237,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,22,N,N,"Reusable latex is only accepted M-F from May-Oct at the Recycling Depot for swapping/reuse.  Otherwise, residents are instructed to dry out and place in trash carts.    All households can go to Recycling Depot.    Other recyclables include: CRTs, electronics, FBs, batteries, Mercury items, waste oil, and antifreeze    Yard Waste collection is 39 weeks =  37 weeks (April -Dec) and 2 weeks in January for Christmas trees.",,
Norfolk,Robert J. Mcghee,2879,1340,1340,Drop off,Drop off,Drop off,None,0,142,Neither,Neither,Neither,1174,0,213,0,0,124,9,0,75,65,101,29,0,30,127,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,12,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,26,N,Y,Question 3:  Newspaper and Mixed Paper are combined together  Question 4:  Latex/Oil based Paint is collected on Wednesdays between April 1 and September 30 only (total of 26 days for 2010).  All others are collected on all operating days during the year (total 142 days for 2010).,,
NORTH ADAMS,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH ANDOVER,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Attleborough,Michele C. Bernier,10913,8560,8560,Both,Both,Drop off,None,0,48,Both,Both,Neither,4813.04,3103.03,0,69.64,18.31,34.82,0,0,0,0,78.2,1,179.51,2.5,0,1 to 2,Year Round,Year Round,1 to 2,1 to 2,1 to 2,Year Round,Year Round,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,2,N,N,"Tonnage figures do not include municipal or school buildings.  those containers are not weighed.  We collect 4,386 yards of trash and 999 yards of recycling from those buildings.",,
North Brookfield,Lucinda Thompson,2064,1200,1200,Drop off,Drop off,Drop off,None,0,78,Both,Both,Recycling,674,0,86,0,33,40,3,0,27,11,18,20,57,22,0,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 to 2,Year Round,Year Round,1 to 2,0,1 to 2,1 to 2,1,Y,N,"Our facility bales mixed paper & ships to North Shore Recycled fibers  Yard waste collected is grass clippings & leaves only no brush, Christmas trees are collected and chipped",,
North Reading,Richard Carnevale,4241,4276,4276,Curbside,Curbside,Both,None,2,32,Both,Both,Neither,5246,0,883,402,0,0,0,0,0,0,0,0,0,0,0,1 to 2,Year Round,1 to 2,12,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,Year Round,,Year Round,Year Round,Year Round,Year Round,2,N,N,,,
Northampton,Karen Bouquillon,12345,5519,5519,Drop off,Drop off,Drop off,Drop off,0,261,Both,Both,Neither,2878,0,1748,512,0,0,0,0,0,0,462,125,0,36,2190,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,Y,Y,"61 tons CRTs; 380# mercury/lithium/NiCd batteries; 15,301 linear feet fluorescent bulbs; 822 CFL's; 427# ballasts; 160 propane tanks; 28 tons tires; 49 tons mattresses/boxsprings; 173 tons clean wood; 1556 tons yard & leaf wastes; 320 tons wood chips.",,
NORTHBOROUGH,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHBRIDGE,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northfield,Jan Ameen,1257,945,945,Drop off,Drop off,Drop off,Drop off,0,156,Neither,Neither,Neither,415,0,165,96,0,0,0,0,0,0,30,0,0,0,0,Year Round,Year Round,0,0,0,0,Year Round,Year Round,0,Year Round,0,0,0,0,0,1,Y,Y,,,
NORTON,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwell,Joanne M. Dirk,3282,3282,3282,Curbside,Curbside,Drop off,None,0,96,Both,Both,Neither,3476.39,472.06,329.33,127.05,0,0,0,0,0,0,75.86,0,0,0,0,52,52,0,12,12,52,52,52,12,52,52,52,52,52,3 to 10,11,Y,Y,"Norwell now holds an annual spring clean-up event for all communities.  Vendors include Got Books, Big Brother, Big Sister, Shred King, etc.  At this time we have not collected the numbers for this event.",,
Norwood,Doris Burtman,13000,9600,9600,Curbside,Both,Both,None,36,36,Both,Both,Neither,5844.37,3008.8,0,0,0,0,0,0,0,0,65.4,0,0,0,0,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,1,N,N,,,
OAK BLUFFS,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAKHAM,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,Priscilla Curtis,2488,1399,1399,Drop off,Drop off,Drop off,None,0,260,Both,Both,Both,827,0,240,54,0,0,0,0,56,0,32,18,2,2,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,1,Y,Y,,,
Orleans,Mark J. Budnick,4858,3400,3524,Drop off,Drop off,Drop off,None,0,265,Trash,Trash,Trash,2323,0,310,0,0,136,3,0,140,60,172,0,512,4,2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,2,N,Y,Swap Shop: Esimated Quantity  Other Materials:  returnable containers collect at facility by none profits.  Quantity estimated,,
Otis,Jamie Cahillane,1594,1594,1594,Drop off,Drop off,Drop off,None,0,213,Recycling,Recycling,Both,557.7,0,111,67.2,0,0,0,0,0,0,54.7,0,307,0,0,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Year Round,0,0,0,0,0,2,Y,N,,,
OXFORD,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmer,Patricia A. Kennedy,4329,0,4300,None,Drop off,Drop off,None,0,32,Recycling,Recycling,Neither,0,0,0,53,87,0,0,0,0,0,0,0,0,0,0,0,0,1 to 2,0,0,0,1 to 2,1 to 2,0,0,0,0,0,0,0,0,,,,,
PAXTON,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peabody,Bert Maria,18898,18581,18581,Curbside,Both,Both,None,12,365,Both,Both,Neither,21908,0,2218,693,0,0,0,0,0,0,696,11,0,0,0,Year Round,Year Round,Year Round,Year Round,1 to 2,1 to 2,Year Round,Year Round,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,N,Y,,,
PELHAM,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pembroke,Michael F. Valenti,6140,6116,4755,Curbside,Drop off,Drop off,None,0,154,Both,Both,Neither,6780,0,0,0,213,121,14,4,83,27,149,39,66,49,146,Year Round,Year Round,Year Round,1 to 2,1 to 2,1 to 2,Year Round,Year Round,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,1,N,N,The Board of Selectmen plan to implement a mandatory curbside recycling program in FY 2012 subject to funding.,,
Pepperell,Kenneth Kalinowski,4381,1684,1684,Drop off,Drop off,Drop off,None,0,50,Neither,Neither,Neither,1021.4,0,0,0,281.6,54.6,18.9,6,102.2,38.4,46.2,0,348.7,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,1,N,N,,,
Peru,Ronald Radwich,320,320,320,Drop off,Drop off,None,None,0,0,Neither,Neither,Neither,216,0,27,15,0,0,0,0,0,0,27,0,0,0,0,0,Year Round,0,0,0,0,1 to 2,Year Round,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,1,Y,N,"Trash = 3 tons ""bulky waste"" and 213 tons Compactor.  The Peru is a member of the Northern Berkshire Solid Waste Management District.",,
Petersham,Fifi Scoufopoulos,525,376,376,Drop off,Drop off,None,None,0,0,Neither,Neither,Neither,193.71,0,65.78,34.43,0,0,0,0,0,0,30,0,0,0,0,0,1 to 2,52,1 to 2,0,1 to 2,1 to 2,52,1 to 2,52,1 to 2,1 to 2,0,1 to 2,1 to 2,1,Y,,recyclables not collected at transfer station are directed to other local collection points. Also participate in annual regional haz. waste collection.,,
Phillipston,Rick French,1500,0,0,Drop off,Drop off,None,Drop off,0,0,Both,Both,Both,153.69,7.56,0,0,0,0,0,0,0,0,0,4,0,0,0,1 to 2,1 to 2,52,1 to 2,1 to 2,1 to 2,1 to 2,0,1 to 2,52,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1,Y,,,,
Pittsfield,Bruce Collingwood,4139330,16000,16000,Both,Both,Drop off,None,0,52,Neither,Neither,Neither,14685,0,1566,667,0,0,0,0,0,0,88.5,0,146.4,0,527.9,0,0,0,,0,0,1 to 2,0,0,0,0,0,0,0,0,0,N,N,"-MRF recycling data was not available.  I used data from Covanta Drop-off to estimate totals for containers and paper.  Recycling tons do not include tons from schools,mun bldgs and businesses.  -Trash tons are from residents only (curbside and drop-off)",,
Plainfield,Eric Weiss,250,225,225,Drop off,Drop off,None,None,0,0,Neither,Neither,Both,109.96,0,20.46,32.35,0,0,0,0,0,0,11.2,3.4,0,0,1.39,0,1 to 2,Year Round,1 to 2,1 to 2,1 to 2,Year Round,Year Round,Year Round,Year Round,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1,Y,,Plainfield is part of the Hilltown Resource Management Cooperative,,
Plainville,Deborah J. Revelle,3524,1787,1787,Curbside,Both,Drop off,None,0,100,Both,Both,Neither,1187,581,2,0,0,31,0,0,0,0,23,0,0,0,0,52,52,52,0,0,1 to 2,52,52,0,52,52,52,52,52,52,1,N,N,,,
Plymouth,Kerin Mccall,21048,9835,10731,Drop off,Drop off,Drop off,None,0,206,Both,Both,Neither,12454,2,1001,691,146,410,0,0,0,0,618,38,1037,33,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 to 2,11,N,Y,"Plymouth hosted 2 hazardous product collections, but 11 collections were available to residents (reciprocal events with South Shore Recycling Cooperative member towns).",,
Plympton,James Mulcahy,958,671,671,Drop off,Drop off,None,Drop off,0,208,Neither,Neither,Neither,864,0,37,41,0,32,0,0,0,0,29,0,0,0,6,0,Year Round,Year Round,0,0,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,,,Other materials is electronics,,
PRINCETON,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provincetown,Sandra M. Turner,4681,3399,3399,Both,Both,Drop off,Drop off,0,226,Both,Both,Neither,3260.46,573.03,0,0,0,222.54,0,0,0,0,0,0,0,0,0,52,52,52,52,52,0,52,52,1 to 2,52,52,52,52,52,52,3,Y,,"Towns of Wellfleet, Truro and Provincetown has hazardous waste in each town that any of the three towns can go.  1-day Wellfleet (Aug)  1-day Truro (Sept) and 1-day Provincetown (Oct)   We are also building a new hopper next to our existing one that will be used for single stream, except cardboard.  We are also adding 22 large recycling bins to the busiest areas of town to try to capture the public recyclables.  We will add another 22 in July.",,
Quincy,John Sullivan,39000,32396,32396,Curbside,Both,Both,None,18,282,Both,Both,Neither,30331,5050,0,0,0,0,0,0,0,0,61,70,0,46,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,2,N,N,,,
Randolph,Paula Steward,10513,8576,8576,Curbside,Curbside,Both,None,4,26,Both,Both,Both,9547,0,1259.94,889.17,55.62,53.27,0,0,0,0,19,46.07,4,0,7555,1 to 2,Year Round,12,1 to 2,1 to 2,1 to 2,52,52,1 to 2,Year Round,Year Round,Year Round,1 to 2,Year Round,Year Round,,Y,N,,,
Raynham,Roger Stolte,5093,1253,1253,Drop off,Drop off,Drop off,None,0,248,Neither,Neither,Both,787,0,0,0,142,103,135,2,100,49,2,0,355,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,,3 to 10,Year Round,3 to 10,Year Round,Year Round,1 to 2,,,0,1,,,,,
Reading,Michael O'Halloran,8446,8029,8029,Curbside,Curbside,Both,None,3,89,Both,Both,Neither,8016,0,1571,843,0,0,0,0,0,0,18,0,0,0,0,1 to 2,Year Round,1 to 2,Year Round,1 to 2,1 to 2,Year Round,1 to 2,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,2,N,N,,,
REHOBOTH,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
